제목,원제,개봉일,스트리밍,구매,평점,장르,재생 시간,감독,출연진,시놉시스,이미지,대여
나 홀로 집에,Home Alone,(1990),"[('Disney Plus', ['정액제', '4K'])]","[('wavve', ['₩5,500', 'HD']), ('Naver Store', ['₩5,500', 'HD'])]","['82%', '7.6 (511k)']","['코미디 , 가족']",['1시간 43분'],['Chris Columbus'],"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', 'John Heard', ""Catherine O'Hara"", 'Roberts Blossom', 'Devin Ratray', 'Michael C. Maronna', 'Hillary Wolf', 'Angela Goethals', 'Gerry Bamman', 'Terrie Snell', 'Daiana Campeanu', 'Kieran Culkin', 'Kristin Minter', 'John Candy', 'Ralph Foody', 'Michael Guido', 'Larry Hankin', 'Ken Hudson Campbell', 'Hope Davis', 'Billie Bird', 'Bill Erwin', 'Jeffrey Wiseman', 'Virginia Smith', 'Ray Toler', 'Clarke Devereux', 'D. Danny Warhol', 'Matt Doherty', 'Jedidiah Cohen', 'Senta Moses', 'Anna Slotky', 'Gerry Becker', 'Victor Cole', 'Porscha Radcliffe', 'Brittany Radcliffe', 'Peter Siragusa', 'Alan Wilder', 'Dianne B. Shaw', 'James Ryan', 'Mark Beltzman', 'Ann Whitney', 'Jim Ortlieb', 'Monica Devereux', 'Lynn Mansbach', 'Tracy J. Connor', 'Sandra Macat', 'Richard J. Firfer', 'Kate Johnson', 'Michael Hansen', 'Peter Pantaleo', 'Jean-Claude Sciore', 'Edward Bruzan', 'Frank Cernugel', 'Eddie Korosa', 'Robert Okrzesik', 'Leo Perion', 'Vince Waidzulis']","크리스마스 시즌의 시카고. 말썽꾸러기 케빈(맥컬리 컬킨)은 자기의 치즈 피자를 먹은 형과 싸워 소동을 일으키자 엄마는 케빈을 3층 다락방으로 올려보낸다. 케빈의 가족들과 케빈의 집에 온 손님들은 다음 날에 크리스마스 연휴를 이용해 프랑스의 친척 집으로 떠날 계획이었다. 그날 밤, 바람이 세차게 불어 전화선과 전기선이 끊긴다. 케빈의 가족들은 늦잠을 자게 되어 비행기 시간을 맞추기 위해 허둥대다가 그만 3층 다락방에서 잠이 든 케빈을 두고 떠난다. 잠에서 깬 케빈은 혼자 남은 것을 알고 하느님이 자신의 소원을 들어주었다고 기뻐한다. 비행기를 타고 가던 케빈의 어머니는 무엇인가 빠뜨린 기분에 고민하다가 케빈을 두고 왔음에 놀란다. 하지만 전화선이 불통이라, 어쩔 수 없다가 프랑스에 도착한 식구들은 목적지로 가고 엄마는 케빈이 걱정이 되어 집으로 돌아갈 비행기표를 사기 위해 안간힘을 쓰지만 연말연휴라 좌석이 없었다. 혼자 집에 남은 케빈은 형과 누나 방을 구경하면서 즐거워한다. 그리고 노래를 부르고 트리도 만들면서 자축한다. 그런데 빈집털이 2인조 도둑이 케빈의 집을 호시탐탐 노리고 있다는 것을 알게 되는데...",https://images.justwatch.com/poster/240463286/s276/na-holro-jibe.webp,
크리스마스 대소동,National Lampoon's Christmas Vacation,(1989),,"[('Naver Store', ['₩4,950', 'HD'])]","['82%', '7.6 (175k)']","['코미디 , Made in Europe']",['1시간 37분'],['Jeremiah S. Chechik'],"['Chevy Chase', ""Beverly D'Angelo"", 'Juliette Lewis', 'Johnny Galecki', 'John Randolph', 'Diane Ladd', 'E.G. Marshall', 'Doris Roberts', 'Randy Quaid', 'Miriam Flynn', 'Cody Burger', 'Ellen Hamilton Latzen', 'William Hickey', 'Mae Questel', 'Sam McMurray', 'Nicholas Guest', 'Julia Louis-Dreyfus', 'Nicolette Scorsese', 'Keith MacKechnie', 'Brian Doyle-Murray', 'Natalija Nogulich', 'Tony Epper', 'Billy Hank Hooker', 'Alexander Folk', 'Jeremy Roberts', 'Woody Weaver', 'Michael Kaufman', 'Devin Bailey', 'Frank Foti Jr.', 'Traci Kochendorfer']","클라크 오스왈드(Clark Wilhelm Griswold, Jr.: 체비 체이스 분)는 식품회사에 근무하는 고급 간부로써 가족의 화목과 단결을 최고의 덕목으로 생각하는 가정적인 남자다. 그는 올 크리스마스를 즐겁게 보내기 위해 친지들을 모두 초청한다. 또 크리스마스 보너스를 많이 탈 걸로 생각하고 수영장을 파기 위해 이미 선금을 지불한 상태다. 온 집 둘레에 전구를 설치하느라 지붕에서 떨어지고 불이 들어오게 갖은 고생을 하는 등 그의 지나친 열의는 가족들을 피곤하게 하고 옆집 사람들을 곤경에 처하게 한다. 클라크의 친부모 시니어와 로라 그리고 장인 장모까지 만나기만 하면 싸운다. 게다가 클라크의 어릴 적부터의 친구이자 머리가 좀 모자라는 에디(Eddie: 랜디 퀘이드 분)의 가족들이 들이닥치면서 이 집은 완전히 아수라장으로 변한다. 더우기 사장 프랭크(Mr. Frank Shirley: 브라이언 도일-머레이 분)가 올 크리스마스 보너스를 전면 동결 시키자 크리스마스 이브에 이를 안 클라크는 세상이 싫어진다. 그러나 클라크네 가족들은 즐거운 크리스마스를 보내기 위해 노력한다. 친구의 속상한 마음을 안 에디는 사장 프랭크를 납치해 클라크 앞에 데려다 준다. 그후 사장은 자신의 행동을 뉘우치고 다시 보너스를 주게 된다. 결국 모든이들은 진정한 크리스마스의 의미를 깨닫는다.",https://images.justwatch.com/poster/248460937/s276/national-lampoons-christmas-vacation.webp,"[('Naver Store', ['₩1,300', 'HD'])]"
고스트 버스터즈,Ghostbusters,(1984),"[('Netflix', ['정액제', '4K'])]","[('Naver Store', ['₩5,000', 'HD'])]","['84%', '7.8 (373k)']","['판타지 , SF , 액션 , 코미디']",['1시간 41분'],['Ivan Reitman'],"['Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver', 'Harold Ramis', 'Rick Moranis', 'Annie Potts', 'William Atherton', 'Ernie Hudson', 'David Margulies', 'Steven Tash', 'Jennifer Runyon', 'Slavitza Jovan', 'Michael Ensign', 'Alice Drummond', 'Jordan Charney', 'Timothy Carhart', 'John Rothman', 'Tom McDermott', 'Roger Grimsby', 'Larry King', 'Joe Franklin', 'Casey Kasem', 'John Ring', 'Norman Matlock', 'Joe Cirillo', 'Joe Schmieg', 'Reginald VelJohnson', 'Rhoda Gemignani', 'Murray Rubin', 'Larry Dilg', 'Danny Stone', 'Patty Dworkin', 'Jean Kasem', 'Lenny Del Genio', 'Frances E. Nealy', 'Sam Moses', 'Christopher Wynkoop', 'Winston May', 'Tommy Hollis', 'Eda Reiss Merin', 'Ric Mancini', 'Kathryn Janssen', 'Stanley Grover', 'Carol Ann Henry', 'James Hardie', 'Frantz Turner', 'Nancy Kelly', 'Paul Trafas', 'Cheryl Birchenfield', 'Ruth Oliver', 'Kymberly Herrin', 'Murray Bandel', 'Larry Bilzarian', 'Billy Bryan', 'Matteo Cafiso', 'Larry Chain', 'Frankie Como', 'Peter Costanza', ""James 'Hotfeet' Davis"", 'John De Bello', 'Paddi Edwards', 'Eldo Ray Estes', 'Brute Force', 'Debbie Gibson', 'Willow Hale', 'Jon Hayden', 'Ron Jeremy', 'Joseph Marzano', 'Joe Medjuck', 'Danny Nero', 'Frank Patton III', 'Harrison Ray', 'Ivan Reitman', 'Frank Rivers', 'Mario Todisco', 'Bill Walton', 'Manny Weltman', 'Mark Bryan Wilson']","초심리를 연구하는 뉴욕의 괴짜교수 피터 밴크맨(빌 머레이)와 레이몬드 스탠드(댄 애크로이드), 에곤 스펜글러(해롤드 래미스)는 루이스(릭 모라니스)를 비서로 고용한다. 이는 뉴욕에 출몰하는 유령들을 잡기 위해서다. 루이스를 포함한 이들 네 명은 유령을 잡는 회사를 설립해 각색의 유령들을 잡아들이기 시작한다. 이들은 처음에는 주위의 멸시를 받았으나 어느 날 강한 악령의 힘이 살아나기 시작하면서 활동의 힘을 얻는다. 이들 '고스트 버스터즈'는 마침내, 뉴욕의 다나의 집에 출현해 거대한 빌딩 옥상에 버티고 있는 유령들의 총두목격인 '카쟈'를 만나게 되는데...",https://images.justwatch.com/poster/19416696/s276/ghostbusters.webp,"[('Naver Store', ['₩1,300', 'HD'])]"
고스트 버스터즈 2,Ghostbusters II,(1989),"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]","[('Naver Store', ['₩5,000', 'HD']), ('wavve', ['₩5,500', 'HD'])]","['74%', '6.6 (196k)']","['판타지 , 액션 , 코미디 , SF']",['1시간 48분'],['Ivan Reitman'],"['Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver', 'Harold Ramis', 'Rick Moranis', 'Ernie Hudson', 'Annie Potts', 'Peter MacNicol', 'Harris Yulin', 'David Margulies', 'Kurt Fuller', 'Janet Margolin', 'Wilhelm von Homburg', 'William T. Deutschendorf', 'Henry J. Deutschendorf II', 'Mary Ellen Trainor', 'Chloe Webb', 'Kevin Dunn', 'Brian Doyle-Murray', 'Max von Sydow', 'Ben Stein', 'Michael P. Moran', 'George P. Wilbur', 'Cheech Marin', 'Philip Baker Hall', 'Jason Reitman', 'Catherine Reitman', 'Erik Holland', 'Douglas Seale', 'Louise Troy', 'Yvette Cruise']","고스트 버스터즈 4인방은 악마 '고저'로부터 세계를 구한 후 순탄한 생활을 하지 못하고 있다. 이들은 소동으로 파괴된 빌딩과 도로 수리비를 벌기 위해 유령퇴치 일도 휴업한 채 실직 직전에 있다. 다나(시고니 위버 분)도 이혼 후 아들 오스크와 함께 지내고 있다. 다나는 미술관에서 일하는데, 그녀는 아기가 탔던 유모차가 혼자 움직이더니 자동차 사이를 달리는 이상한 일이 생기자 유령 퇴치꾼들을 부른다. 고스트 버스터즈 4인방은 이 일을 계기로 다시 모여 다나의 집근처를 조사한다. 그러던 중 그들은 땅 속에서 붉은 색 거품의 강을 발견하고, 이 거품이 인간의 증오와 불신의 감정이 뭉쳐서 형성된 물질임을 알게 된다. 한편 다나의 직장인 미술관의 야노즈 박사(피터 맥니콜)가 초상화로 인해 악령의 조종을 받게 되는데...",https://images.justwatch.com/poster/20537077/s276/ghostbusters-ii.webp,"[('wavve', ['₩1,300', 'HD']), ('Naver Store', ['₩1,300', 'HD'])]"
멋진 인생,It's a Wonderful Life,(1946),"[('Plex', ['무료', 'HD'])]","[('Naver Store', ['₩1,000'])]","['92%', '8.6 (429k)']","['판타지 , 드라마 , 가족']",['2시간 10분'],['Frank Capra'],"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell', 'Henry Travers', 'Beulah Bondi', 'Frank Faylen', 'Ward Bond', 'Gloria Grahame', 'H.B. Warner', 'Frank Albertson', 'Todd Karns', 'Samuel S. Hinds', 'Mary Treen', 'Virginia Patton', 'Charles Williams', 'Sarah Edwards', 'William Edmunds', 'Lillian Randolph', 'Argentina Brunetti', 'Robert J. Anderson', 'Ronnie Ralph', 'Jean Gale', 'Jeanine Ann Roose', 'Danny Mummert', 'Georgie Nokes', 'Sheldon Leonard', 'Frank Hagney', 'Ray Walker', 'Charles Lane', 'Edward Keane', 'Carol Coombs', 'Karolyn Grimes', 'Larry Simms', 'Jimmy Hawkins', 'Jean Acker', 'Ernie Adams', 'Monya Andre', 'Stanley Andrews', 'Sam Ash', 'Jack Bailey', 'Louise Bates', 'Beth Belden', 'Brooks Benedict', 'Joseph E. Bernard', 'Al Bridge', 'Buz Buckley', 'Marian Carr', 'Adriana Caselotti', 'Lane Chandler', 'Michael Chapin', 'Tom Chatterton', 'Jack Cheatham', 'Harry Cheshire', 'Edward Clark', 'Tom Coleman', 'Ellen Corby', 'Bryn Davis', 'Lew Davis', 'Harry Denny', 'Helen Dickson', 'Dick Elliott', 'Tom Fadden', 'Frank Fenton', 'Eddie Fetherston', 'Sam Flint', 'Lee Frederick', 'Dick Gordon', 'Jack Gordon', 'Herschel Graham', 'Joseph Granby', 'Charles Halton', 'Carl Eric Hansen', 'Herbert Heywood', 'Harry Holman', 'Art Howard', 'Bert Howard', 'Arthur Stuart Hull', 'John Indrisano', 'Eddie Kane', 'Carl Kent', 'Milton Kibbee', 'Effie Laird', 'Mike Lally', 'Harold Landon', ""Meade 'Lux' Lewis"", 'Jack Lomas', 'J. Farrell MacDonald', 'Wilbur Mack', 'Charles Meakin', 'Priscilla Montgomery', 'Bert Moorhouse', 'Evelyn Moriarty', 'Philip Morris', 'George Noisom', ""Bob O'Connor"", ""Frank O'Connor"", ""Lynn O'Leary-Jameson"", 'Moroni Olsen', 'Garry Owen', 'Netta Packer', 'Franklin Parker', 'Suzanne Ridgeway', 'Mark Roberts', 'Constantine Romanoff', 'Cy Schindell', 'Almira Sessions', 'Cedric Stevens', 'Brick Sullivan', 'Charles Sullivan', 'Carl Switzer', 'Max Wagner', 'Larry Wheat', 'Charles C. Wilson']","조지 베일리는 베드폴드 마을 사람들을 위해 평생을 봉사하며 살아온 인물. 그는 항상 여행을 원했지만 마을 전체를 인수하려는 구두쇠 포터의 계략을 막기 위해서 그 기회를 버릴 수 밖에 없었다. 그를 저지하기 위해 그와 그의 아버지가 만든 대출회사는 애를 쓰지만, 크리스마스 이브에 빌리 삼촌이 사업비 8000달러를 은행에 예금하려던 중 돈을 잃어버린다. 포터는 돈의 위치를 알아내고 이를 숨긴다. 조지는 책임을 떠안고 감옥에 구속되고, 회사는 파산한다. 마침내 포터는 도시를 인수한 것이다. 사랑하는 아내, 자식 그리고 마을 사람들을 생각하며 조지는 자살을 생각하지만, 그의 앞에 수호천사 클라란스가 나타나는데...",https://images.justwatch.com/poster/244992618/s276/meosjin-insaeng.webp,
용쟁호투,Enter the Dragon,(1973),"[('Netflix', ['정액제', 'HD'])]","[('wavve', ['₩4,950', 'HD'])]","['83%', '7.7 (101k)']","['액션 , 범죄 , 드라마 , 스릴러']",['1시간 42분'],['Robert Clouse'],"['Bruce Lee', 'John Saxon', 'Jim Kelly', 'Sek Kin', 'Ahna Capri', 'Robert Wall', 'Angela Mao Ying', 'Betty Chung', 'Bolo Yeung', 'Geoffrey Weeks', 'Roy Chiao', 'Yuen Biao', 'Marlene Clark', 'Sammo Hung', 'Jackie Chan', 'Phillip Ko', 'Mang Hoi', 'Mars', 'Peter Chan Lung', 'Paul Chung Fat', 'Tai Bo', 'Tony Liu', 'Yuen Wah', 'Lam Ching-Ying']","미국 정보부에서는 헤로인을 밀조하고 인신매매까지 벌이는 한을 체포하기 위해, 소림사 출신의 무술인 리에게 도움을 청한다. 쿵푸학교로 위장된 한의 요새화된 섬에서 3년마다 열리는 무술대회에 출전하게 하는데, 누이동생의 죽음이 한과 관련이 있는 것을 알고 그들을 응징하기로 마음 먹는다. 섬에 도착한 무술인들 중에는 암흑조직에 쫒기는 로퍼와 가라데 선수로 경찰에 쫒기는 흑인 윌리암즈가 있었다. 리는 정보부에서 미리 침투시킨 메이 링과의 접선에 성공하고, 그녀로부터 섬의 여자들이 계속 실종되고 있다는 말을 듣고 야밤에 몰래 정탐을 하기로 계획하는데...",https://images.justwatch.com/poster/8726468/s276/enter-the-dragon.webp,"[('wavve', ['₩1,320', 'HD'])]"
구니스,The Goonies,(1985),"[('wavve', ['정액제', 'HD'])]","[('wavve', ['₩4,950', 'HD']), ('Naver Store', ['₩4,950', 'HD'])]","['84%', '7.8 (259k)']","['액션 , 코미디 , 가족']",['1시간 54분'],['Richard Donner'],"['Sean Astin', 'Josh Brolin', 'Jeff Cohen', 'Corey Feldman', 'Kerri Green', 'Martha Plimpton', 'Jonathan Ke Quan', 'John Matuszak', 'Robert Davi', 'Joe Pantoliano', 'Anne Ramsey', 'Lupe Ontiveros', 'Mary Ellen Trainor', 'Keith Walker', 'Curtis Hanson', 'Steve Antin', 'Paul Tuerpe', 'George Robotham', 'Charles McDaniel', 'Elaine Cohen McMahon', 'Michael Paul Chan', 'George Nicholas McLean', 'Bill Bradley', 'Jeb Stuart Adams', 'Eric Briant Wells', 'Gene Ross', 'Max Segar', 'Newt Arnold', ""Jack O'Leary"", 'Patrick Cameron', 'Orwin C. Harvey', 'Ted Grossman', 'Richard Donner', 'Eydie Faye', 'Rick Kuhn', 'Cyndi Lauper', 'Jennie Lew Tugend', 'Lisa Quan']",은행에 잡힌 저당으로 인해 곧 철거될 한 변두리 동네에서 아이들이 보물지도 한 장을 찾아낸다. 이 지도가 17세기 중엽 영국 해군과 싸우다 패하여 해저동굴에 숨어들어갔다는 '애꾸눈 윌리'가 보물을 숨겨둔 장소를 나타낸 것임을 알고 아이들은 모험을 시작한다. 해저 동굴의 입구인 등대 식당에서 위조지폐를 만드는 악당들에게 심한 곤욕을 치른 후 탈출한 아이들은 식당 지하실부터 해저 동굴로 들어가 한없는 통로를 헤쳐 나간다. 마침내 지도가 표시한 지점에 당도하여 보물을 손에 넣게 되지만 아이들은 악당들에게 잡혀 손에 들었던 금은 보화는 내동뎅이친 채 탈출하는데...,https://images.justwatch.com/poster/240270553/s276/guniseu.webp,"[('Naver Store', ['₩1,300', 'HD']), ('wavve', ['₩1,320', 'HD'])]"
크리스마스 스토리,A Christmas Story,(1983),,"[('wavve', ['₩4,950', 'HD']), ('Naver Store', ['₩4,950', 'HD'])]","['83%', '7.9 (137k)']","['코미디 , 가족 , Made in Europe']",['1시간 33분'],['Bob Clark'],"['Melinda Dillon', 'Darren McGavin', 'Peter Billingsley', 'Jean Shepherd', 'Ian Petrella', 'Scott Schwartz', 'R.D. Robb', 'Zack Ward', 'Yano Anaya', 'Tedde Moore', 'Jeff Gillen', 'Leigh Brown', 'Bob Clark', 'Leslie Carlson', 'Jim Hunter', 'David Edward', 'Rocco Bellusci', 'Tommy Wallace', 'Jordan-Patrick Marcantonio', 'Gary A. Jones', 'Patty Johnson', 'Drew Hocevar', 'Dwayne McLean', 'Helen E. Kaider', 'John Wong', 'Johan Sebastian Wong', 'Fred Lee', 'Dan Ma']","총이라면 위험하다며 무조건 반대하는 어른들을 이해할 수 없는 랄피(피터 빌링스리 분)는 크리스마스 선물로 총알을 넣고 쏘는 카빈 총을 갖고 싶어한다. 엄마와 선생님,산타클로스 모두 총은 선물로 안된다는 말을 들은 랄피는 크게 낙담한다. 크리스마스 날 선물 꾸러미를 푸는 랄피는 심드렁하다. 그러나 아버지(대렌 맥가빈 분)는 어머니(멜린다 딜론 분)도 모르게 산타클로스가 갖다 놓은 것처럼 꾸며 랄피가 그토록 가지고 싶어하던 총을 랄피에게 준다.",https://images.justwatch.com/poster/239558323/s276/a-christmas-story.webp,"[('Naver Store', ['₩1,300', 'HD']), ('wavve', ['₩1,320', 'HD'])]"
해리가 샐리를 만났을 때,When Harry Met Sally...,(1989),"[('Watcha', ['정액제', 'HD'])]",,"['81%', '7.6 (206k)']","['드라마 , 코미디 , 로맨스']",['1시간 36분'],['Rob Reiner'],"['Billy Crystal', 'Meg Ryan', 'Carrie Fisher', 'Bruno Kirby', 'Steven Ford', 'Lisa Jane Persky', 'Michelle Nicastro', 'Gretchen Palmer', 'Robert Alan Beuth', 'David Burdick', 'Joe Viviani', 'Harley Jane Kozak', 'Joseph Hunt', 'Kevin Rooney', 'Franc Luz', 'Tracy Reiner', 'Kyle T. Heffner', 'Kimberley LaMarque', 'Stacey Katzin', 'Estelle Reiner', 'John Arceri', 'Connie Sawyer', 'Kuno Sponholz', 'Katherine Squire', 'Frances Chaney', 'Bernie Hern', 'Rose Wright', 'Aldo Rossi', 'Dona Hardy', 'Peter Pan', 'Jane Chung', 'Bob Ader', 'Jeff Dlugolecki', 'Nicholas Glaeser', 'Randy James', 'Stanley Moore', 'Larry Sherman', 'Marilyn Spanier', 'John Speredakos', 'Terry Vaughan', 'Anthony Welch']","""우린 친구가 될 수 없겠네요."" 대학 졸업 후 뉴욕행을 함께 하게 된 해리와 샐리. ‘남자와 여자는 친구가 될 수 없다’는 명제로 두 사람은 설전을 벌이고, 성격도 취향도 정반대인 서로를 별종이라 생각한다. 뉴욕에 도착한 두 사람은 짧은 인사를 나누고 곧바로 헤어진다. ""너랑 연애 안 하길 천만다행이야."" 몇 년 뒤, 우연히 서점에서 재회한 두 사람. 샐리는 연인과 이별했고 해리는 아내에게 이혼을 통보 받았다. 두 사람은 이별에 대해 이야기하며 급속도로 가까워지고 비로소 둘도 없는 친구가 된다. ""조금만 더 안아줘."" 어느 날 샐리는 헤어진 연인의 결혼 소식을 듣게 되고 뒤늦은 이별의 아픔에 슬퍼한다. 해리는 그런 그녀를 말없이 안아주고 위로의 키스는 뜻밖의 하룻밤으로 이어지는데… 다음 날 아침, 우린 친구일까, 연인일까?",https://images.justwatch.com/poster/20330497/s276/haeriga-saelrireul-mannasseul-ddae.webp,
스타워즈: 에피소드 4 새로운 희망,Star Wars,(1977),"[('Disney Plus', ['정액제', '4K'])]","[('wavve', ['₩5,500', 'HD']), ('Naver Store', ['₩5,500', 'HD'])]","['92%', '8.6 (1m)']","['SF , 액션 , 판타지']",['2시간 1분'],['George Lucas'],"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Peter Cushing', 'Alec Guinness', 'Anthony Daniels', 'Kenny Baker', 'Peter Mayhew', 'David Prowse', 'James Earl Jones', 'Phil Brown', 'Shelagh Fraser', 'Jack Purvis', 'Alex McCrindle', 'Eddie Byrne', 'Drewe Henley', 'Denis Lawson', 'Garrick Hagon', 'Jack Klaff', 'William Hootkins', 'Angus MacInnes', 'Jeremy Sinden', 'Graham Ashley', 'Don Henderson', 'Richard LeParmentier', 'Leslie Schofield', 'Michael Leader', 'David Ankrum', 'Scott Beach', 'Lightning Bear', 'Jon Berg', 'Doug Beswick', 'Paul Blake', 'Janice Burchette', 'Ted Burnett', 'John Chapman', 'Gilda Cohen', 'Tim Condren', 'Barry Copping', 'Alfie Curtis', 'Robert Davies', 'Maria De Aragon', 'Robert A. Denham', 'Frazer Diamond', 'Peter Diamond', 'Warwick Diamond', 'Sadie Eden', 'Kim Falkinburg', 'Harry Fielder', 'Ted Gagliano', 'Salo Gardner', 'Steve Gawley', 'Barry Gnome', 'Rusty Goffe', 'Isaac Grand', 'Reg Harding', 'Alan Harris', 'Frank Henson', 'Christine Hewett', 'Arthur Howell', 'Tommy Ilsley', 'Joe Johnston', 'Annette Jones', 'Linda Jones', 'Joe Kaye', 'Colin Michael Kitchens', 'Melissa Kurtz', 'Tiffany Hillkurtz', 'Al Lampert', 'Anthony Lang', 'Laine Liska', 'Derek Lyons', 'Mahjoub', 'Alf Mangan', 'Grant McCune', 'Geoffrey Moon', 'Mandy Morton', 'Lorne Peterson', 'Marcus Powell', 'Shane Rimmer', 'Pam Rose', 'George Roubicek', 'Erica Simmons', 'Angela Staines', 'George Stock', 'Roy Straite', 'Peter Sturgeon', 'Peter Sumner', 'John Sylla', 'Tom Sylla', 'Malcolm Tierney', 'Phil Tippett', 'Burnell Tucker', 'Morgan Upton', 'Jerry Walter', 'Hal Wamsley', 'Larry Ward', 'Diana Sadley Way', 'Bill Weston', 'Fred Wood', 'Colin Higgins', 'Ron Tarr', 'Anthony Forrest', 'Frances Alfred Basil Tomlin', 'Ronny Cush']","공화국이 붕괴하고 제국이 수립된 뒤 20년, 제다이 기사단은 전멸하고 강력한 제국군의 횡포에 은하계는 공포에 휩싸여 있다. 그러던 중 공화국 재건을 노리는 반란군이 제국군의 비밀병기 데스스타 설계도를 훔쳐 달아나고 제국군은 이를 쫓는다. 하지만 결국 제국의 손에 붙잡히게 된 그들은 드로이드 R2-D2에 설계도를 넣어서 R2의 친구 C-3PO와 탈출시키는 데 성공하고, 두 드로이드 콤비는 타투인의 시골 마을에서 숙부와 함께 살고 있던 청년 루크 스카이워커에게 오게 되는데...",https://images.justwatch.com/poster/8539257/s276/seuta-weojeu-episodeu-4-saeroun-hyimang.webp,
