제목,가중치평점
나 홀로 집에,7.586332060743511
크리스마스 대소동,7.560676040686641
고스트 버스터즈,7.779206926479864
고스트 버스터즈 2,6.5848050564145435
멋진 인생,8.57450579972958
용쟁호투,7.629152488408654
구니스,7.770193959250602
크리스마스 스토리,7.841567455907153
해리가 샐리를 만났을 때,7.566481006109088
스타워즈: 에피소드 4 새로운 희망,8.589004991317637
쉰들러 리스트,8.887809772194132
사운드 오브 뮤직,7.960909553316328
대부,9.186614553070624
나 홀로 집에 2: 뉴욕을 헤매다,6.78857443834199
해저 2만리,7.0489169800807945
2001 스페이스 오디세이,8.284578387590766
머펫의 크리스마스 캐롤,7.567160915766226
터미네이터,7.989591579858926
시계태엽 오렌지,8.287608326552782
플라이,7.559546041855796
웨스트 사이드 스토리,7.438527882249153
대역전,7.455141968127761
터미네이터 2: 심판의 날,8.48940339769214
죽은 시인의 사회,8.080177656322167
마지막 황제,7.627776808571928
시네마 천국,8.45761359076856
대부 3,7.5815249639971345
샤이닝,8.389367612962522
퐁네프의 연인들,7.185941840171095
트윈픽스,7.239804240029986
팀버튼의 크리스마스 악몽,7.973336454576878
화이트 크리스마스,7.424025282072716
인디아나 존스: 레이더스,8.388978483619923
34번가의 기적,7.728354401727263
7인의 사무라이,8.566949135577572
JFK,7.943536021456919
라쇼몽,8.142794007775203
다이 하드 2,7.0856846911446265
감각의 제국,6.467870055778636
아키라,7.952005618238381
사랑의 블랙홀,7.985625642733625
닥터 스트레인지러브,8.378353089393043
스탠 바이 미,8.076582930784737
원초적 본능,6.976087687025302
프라이드 그린 토마토,7.600813483772115
졸업,7.967764967473539
빽 투 더 퓨쳐,8.48940339769214
인디아나 존스: 마궁의 사원,7.485964083050547
레베카,8.033044528021545
원스 어폰 어 타임 인 아메리카,8.270717295484848
프리키 프라이데이,6.185063205181789
좋은 친구들,8.688606584943134
귀여운 여인,7.083849395137528
필라델피아,7.668611861953201
더티 해리,7.651694878460446
비틀쥬스,7.476786752737443
그렘린,7.272586907431496
여인의 향기,7.969581025644045
아담스 패밀리,6.87192722703913
마지막 액션 히어로,6.3849732300866355
패왕별희,7.798700376096954
배트맨,7.481558364674746
아라비아의 로렌스,8.265355673531369
인디아나 존스: 최후의 성전,8.186980705217806
용서받지 못한 자,8.176283947947006
죽음의 표적,5.974440451316346
나의 사촌 비니,7.5408488343101565
오즈의 마법사,7.9776192002147885
스카페이스,8.287592700230654
쥬라기 공원,8.090164321308931
백설공주와 일곱 난쟁이,7.563902621963634
지중해,7.131167293494923
피아노,7.51815129398731
시애틀의 잠 못 이루는 밤,6.777680298156445
택시 드라이버,8.187820659719883
로미오와 줄리엣,7.392970920085547
들개,7.488050564145432
록키,8.083565475059833
조찬 클럽,7.77926193461087
후크,6.784582374630155
풀 메탈 자켓,8.286122723953328
다이 하드,8.18868226772531
