제목,원제,개봉일,스트리밍,대여,구매,평점,장르,재생 시간,출연진,시놉시스,이미지,감독
엑스파일,The X-Files,1993,"{'Disney Plus': ['11개', 'HD']}","{'Naver Store': ['5개', 'HD']}","{'Naver Store': ['5개', 'HD']}","['94%', '8.6 (212k)']","['SF', '다큐멘터리', '스릴러', '범죄', '드라마', '애니메이션', '코미디', '판타지', '공포']",45분,"['David Duchovny', 'Gillian Anderson', 'Mitch Pileggi']",과소 평가되어 무시되거나 미해결 상태로 남겨진 사건들(X 파일)을 조사하는 FBI 특수요원 폭스 멀더와 데이나 스컬리의 활약상을 그린 SF 스릴러 TV 드라마 시리즈.,https://images.justwatch.com/poster/254574485/s276/egseupail.webp,
심슨네 가족들,The Simpsons,1989,"{'Disney Plus': ['32개', 'HD']}","{'Naver Store': ['14개', 'HD']}","{'Naver Store': ['14개', 'HD']}","['93%', '8.6 (386k)']","['애니메이션', '코미디']",28분,"['Dan Castellaneta', 'Julie Kavner', 'Nancy Cartwright', 'Yeardley Smith', 'Hank Azaria', 'Harry Shearer']","1989년 12월 FOX에서 방영을 시작한 애니메이션. 미국의 스프링필드를 배경으로 먹는 걸 유난히 밝히고 게으르며 독특한 성격의 가장 호머, 항상 사고만 치고 다니는 남편과 아이들의 뒤치다꺼리를 도맡아 하는 엄마 마지, 하루라도 장난을 치지 않고 넘어가는 날이 없는 장난꾸러기 아들 바트, 나이에 비해 꽤나 어른스럽고 똑똑한 리사, 그리고 말은 한마디도 못하지만 의외의 대활약을 보여주는 막내 메기 등 각각의 개성 만점 가족 구성원들이 펼치는 극적인 하루하루를 그리고 있다.",https://images.justwatch.com/poster/252689092/s276/simseun-gajog.webp,
스파이더맨,Spider-Man,1981,"{'Disney Plus': ['1개', 'HD']}",,,"['78%', '7.0 (1k)']","['판타지', 'SF', '애니메이션', '액션', '가족']",22분,"['Ted Schwartz', 'Morgan Lofting', 'Linda Gary', 'Mona Marshall', 'William Woodson', 'Buster Jones']",Spider-Man is an American animated TV series based on the popular Marvel Comics character of the same name.,https://images.justwatch.com/poster/242839959/s276/seupaideomaen.webp,
그것이 알고싶다,,1992,"{'wavve': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}","{'Naver Store': ['1개', 'HD']}","{'Naver Store': ['1개', 'HD']}",['85%'],,1시간 4분,['Moon Sung-keun'],"SBS의 대표적인 시사고발 프로그램으로 사회, 종교, 미제사건 등 다양한 분야를 취재한다.",https://images.justwatch.com/poster/253248031/s276/geugeosi-algosipda.webp,
사인필드,Seinfeld,1989,"{'Netflix': ['9개', '4K']}",,,"['94%', '8.8 (285k)']",['코미디'],24분,"['Jerry Seinfeld', 'Jason Alexander', 'Michael Richards', 'Julia Louis-Dreyfus']",코미디언 제리 사인필드가 직접 자신의 삶을 무대로 연기한 드라마,https://images.justwatch.com/poster/16883722/s276/seinfeld.webp,
The Little Mermaid,,1992,"{'Disney Plus': ['3개', 'HD'], 'wavve': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}",,,"['75%', '6.8 (4k)']","['드라마', '가족', '판타지', '로맨스', '코미디', '애니메이션']",23분,"['Jodi Benson', 'Jim Cummings', 'Samuel E. Wright', 'Kenneth Mars', 'Danny Cooksey', 'Mary Kay Bergman', 'Dave Coulier', 'Tim Curry', 'Pat Carroll', 'Maurice LaMarche', 'Edan Gross']","Disney's The Little Mermaid is an American animated television series produced by Walt Disney Television Animation based on the 1989 Disney film of the same name. It features the adventures of Ariel as a mermaid prior to the events of the film. This series is the first Disney television series to be spun off from a major animated film. Some of the voice actors of the film reprise their roles in the series, among them Jodi Benson as Ariel, Samuel E. Wright as Sebastian, Kenneth Mars as King Triton, and Pat Carroll as Ursula.",https://images.justwatch.com/poster/140772108/s276/the-little-mermaid.webp,['Jamie Mitchell']
The Twilight Zone,,1959,,,"{'Naver Store': ['1개', 'HD']}","['95%', '9.0 (77k)']","['SF', '판타지', '공포', '스릴러', '드라마']",28분,['Rod Serling'],"A series of unrelated stories containing drama, psychological thriller, fantasy, science fiction, suspense, and/or horror, often concluding with a macabre or unexpected twist.",https://images.justwatch.com/poster/79970590/s276/the-twilight-zone.webp,
Tom and Jerry,,1940,,,"{'Naver Store': ['1개', 'HD']}","['93%', '7.7']","['애니메이션', '가족', '코미디', '액션']",8분,,"Tom and Jerry is an American animated franchise and series of comedy short films created in 1940 by William Hanna and Joseph Barbera. Best known for its 161 theatrical short films by Metro-Goldwyn-Mayer, the series centers on a friendship/rivalry (a love-hate relationship) between the title characters Tom, a cat, and Jerry, a mouse. Many shorts also feature several recurring characters.",https://images.justwatch.com/poster/23231085/s276/tomgwa-jeri.webp,"['Joseph Barbera ', ' William Hanna']"
드래곤볼 Z,ドラゴンボールゼット,1989,"{'wavve': ['1개', 'HD']}",,,"['94%', '8.7 (121k)']","['SF', '애니메이션', '코미디', '액션', '스릴러', '판타지', '드라마']",24분,"['Masako Nozawa', 'Ryou Horikawa', 'Toshio Furukawa', 'Mayumi Tanaka', 'Hiromi Tsuru', 'Naoki Tatsuta', 'Ryusei Nakao', 'Joji Yanami', 'Yuko Minaguchi', 'Naoko Watanabe', 'Hirotaka Suzuoki', 'Miki Ito', 'Yuko Minaguchi', 'Hiroko Emori', 'Mayumi Shou', 'Hiroko Emori', 'Toru Furuya', 'Tomiko Suzuki', 'Mami Koyama', 'Shigeru Chiba', 'Shin Aomori', 'Kōhei Miyauchi', 'Kozo Shioya', 'Toku Nishio', 'Reizō Nomoto', 'Ryuuzaburou Ootomo', 'Yukimasa Kishino', 'Shigeru Chiba', 'Kazumi Tanaka', 'Yukitoshi Hori', 'Hideyuki Hori', 'Show Hayami', 'Shozo Iizuka', 'Kenji Utsumi', 'Yuuko Kobayashi', 'Hiroshi Masuoka', 'Mariko Mukai', 'Yōko Kawanami', 'Takeshi Kusao', 'Hikaru Midorikawa', 'Takeshi Aono', 'Ichirō Nagai', 'Keiko Yamamoto', 'Norio Wakamoto', 'Yuji Mitsuya', 'Masaharu Sato', 'Daisuke Gouri', 'Naoko Watanabe', 'Bin Shimada', 'Chikao Ohtsuka', 'Daisuke Gouri', 'Hiro Yuuki', 'Hisao Egawa', 'Junpei Takiguchi', 'Mayumi Tanaka', 'Katsuji Mori', 'Keiko Yokozawa', 'Kenji Utsumi', 'Megumi Urawa', 'Naoki Tatsuta', 'Yukimasa Kishino', 'Yukitoshi Hori', 'Shigeru Nakahara']","흥미진진한 드래곤 볼! 계속되는 이야기! 성장한 손오공이 치치와 결혼하여 손오반이라는 아들까지 둔 모습을 보여주고 있다. 어느 날 우주로부터 형 라데츠가 찾아와 지구를 멸망시키려고 하며 손오공에게 동참할 것을 설득한다. 하지만, 자신의 설득이 먹혀들지 않자 조카인 오반을 납치한다. 오공과 피콜로가 합심하여 라데츠를 물리치지만, 오공도 죽어버리는 사태가 발생한다. 지구를 위해, 그리고 우주를 위해 싸우는 Z 용사들!",https://images.justwatch.com/poster/8569195/s276/doragonboruzetsuto.webp,
신비한 바다의 나디아,ふしぎの海のナディア,1990,,,"{'Naver Store': ['1개', 'HD']}","['84%', '7.8 (1k)']","['SF', '액션', '가족', '판타지', '로맨스', '애니메이션', '드라마']",25분,"['Yoshino Takamori', 'Noriko Hidaka', 'Toshiharu Sakurai', 'Yuko Mizutani', 'Kumiko Takizawa', 'Kenyu Horiuchi', 'Toshiharu Sakurai', 'Akio Otsuka', 'Motomu Kiyokawa', 'Kikuko Inoue', 'Chikao Ohtsuka', 'Hiroshi Masuoka', 'Hitoshi Takagi', 'Kaneto Shiozawa', 'Kappei Yamaguchi', 'Kōji Tsujitani', 'Tamio Ohki', 'Teiji Ōmiya', 'Toshihiko Seki', 'Tsukasa Itou']","나디아와 함께 떠나는 환상의 세계! 쟝은 발명을 좋아하는 소년으로, 프랑스 파리에서 개최된 '만국박람회'에서 열릴 비행 콘테스트에 참가하기 위해 삼촌과 함께 여정에 오른다. 파리에 도착한 쟝은 우연히 피부 색깔이 특이한 소녀를 보게 되고, 그녀를 뒤따라가던 쟝은 곧 그녀가 누군가에게 쫒기고 있다는 사실을 알게 된다. 장은 그들로부터 나디아를 지키고자 하는데...",https://images.justwatch.com/poster/118471325/s276/sinbihan-badayi-nadia.webp,
기동전사 건담,機動戦士ガンダム,1979,"{'wavve': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}",,,"['87%', '8.0 (2k)']","['SF', '전쟁', '애니메이션', '액션', '드라마']",25분,"['Toru Furuya', 'Shuuichi Ikeda', 'Hirotaka Suzuoki', 'Fuyumi Shiraishi', 'Kiyonobu Suzuki', 'Toshio Furukawa', 'Rumiko Ukai', 'Yō Inoue', 'Shozo Iizuka', 'Keiko Han', 'Banjo Ginga', 'Mami Koyama', 'Daisuke Gouri', 'Katsuji Mori', 'Ichirō Nagai', 'Masashi Hirose', 'Keiko Toda', 'Kaneto Shiozawa', 'Sanae Takagi', 'Yumi Nakatani']","1979년 4월 나고야 TV에서 방영을 시작한 SF애니메이션. 21세기 지구는 인구 과잉, 자원 고갈 등으로 오염되었다. 인류는 우주세기 0001년부터 우주 이민을 개시하지만 지구인들은 이주민들의 자치권을 인정하지 않는다. 우주세기 0079년, 스스로 지온공국이라 칭한 사이드 3의 세력이 독립을 선언하며 사이드 1, 2, 4에 공격을 퍼붓는다. 서로가 핵, 화학무기를 남발한 까닭에 인류의 반이 괴멸된 상태로 두 세력은 평화 협정을 맺는다. 하지만 연방은 모빌슈츠에 대항할 어떠한 수단도 갖고 있지 않은 상태. 이에 연방은 V 작전이라 명명되는 신형 모빌 슈츠 개발을 시작하는데...",https://images.justwatch.com/poster/179896030/s276/gidongjeonsa-geondam.webp,['Yoshiyuki Tomino']
스타 트렉,Star Trek,1966,"{'Netflix': ['3개', 'HD']}",,,"['90%', '8.3 (78k)']","['SF', '드라마', '액션']",50분,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan', 'George Takei', 'Walter Koenig', 'Nichelle Nichols']",23세기를 배경으로 우주 탐사 임무를 띠고 출항한 엔터프라이즈호의 항해와 평등과 화합 그리고 평화를 그린 드라마,https://images.justwatch.com/poster/109842710/s276/seuta-teureg.webp,
스타 트렉: 넥스트 제너레이션,Star Trek: The Next Generation,1987,"{'Netflix': ['7개', 'HD']}",,,"['93%', '8.6 (111k)']","['SF', '액션']",46분,"['Patrick Stewart', 'Jonathan Frakes', 'Brent Spiner', 'Michael Dorn', 'Marina Sirtis', 'LeVar Burton', 'Gates McFadden']","배경은 ""오리지널 시리즈""로부터 대략 100년 후로 설정되어 있으며, 2363년 10월 4일 새롭게 취역한 엔터프라이즈-D와 장 뤽 피카드 함장이 출연한다. 본 시리즈에서는 또한 베타조이드 혼혈인 디애나 트로이와 스타플릿 최초의 클링온 장교인 워프 등과 같은 외계 종족의 승무원이 등장하였다. 1987년 9월 28에 시작하여 1994년 5월 23일을 끝으로 7 시즌간 방영되었다. 이전 시리즈와는 달리, 네트워크 방송사에 공중파로 방송되지 않고 프로그램이 배급되었다. 《스타 트렉》의 다른 어떤 시리즈보다 호평을 받았으며, 방송 후반부에는 배급률 1위를 차지하였다. 최종 시즌은 에미상 최고 드라마 시리즈 부분의 수상 후보로 거명되었다. “The Big Good-bye”화는 우수 TV 프로그램 부분 피보디상을 수여받았다.",https://images.justwatch.com/poster/28234804/s276/seuta-teureg-negseuteu-jeneoreisyeon.webp,
A 특공대,The A-Team,1983,"{'wavve': ['1개', 'HD']}",,,"['83%', '7.5 (36k)']","['액션', '범죄']",49분,"['George Peppard', 'Dirk Benedict', 'Mr. T', 'Dwight Schultz', 'Eddie Velez', 'Robert Vaughn']","A fictional group of ex-United States Army Special Forces personnel work as soldiers of fortune while on the run from the Army after being branded as war criminals for a ""crime they didn't commit"".",https://images.justwatch.com/poster/24524615/s276/a-teuggongdae.webp,
아가사 크리스티 - 명탐정 포와르,Agatha Christie's Poirot,1989,"{'wavve': ['13개', 'HD'], 'Watcha': ['13개', 'HD']}",,"{'Naver Store': ['13개', 'HD']}","['91%', '8.6 (41k)']","['드라마', '범죄', '스릴러', 'MadeinEurope']",1시간 11분,['David Suchet'],"미스터리 추리 소설의 여왕, 아가사 크리스티의 작품을 영상화한 시리즈. 멋진 콧수염이 트레이드 마크인 벨기에 출신의 명탐정 에르큘 포와로가 미궁에 빠진 사건들을 해결한다.",https://images.justwatch.com/poster/165472043/s276/agasa-keuriseuti-myeongtamjeong-powaro.webp,
은비까비의 옛날 옛적에,은비까비의 옛날옛적에,1991,"{'Watcha': ['1개', 'HD']}",,,['100%'],,19분,,은비까비의 옛날옛적에,https://images.justwatch.com/poster/244754045/s276/eunbiggabiyi-yesnal-yesjeoge.webp,
Monty Python's Flying Circus,,1969,"{'Netflix': ['4개', 'HD']}",,,"['92%', '8.8 (71k)']","['코미디', 'MadeinEurope']",30분,"['Graham Chapman', 'Michael Palin', 'Terry Jones', 'Eric Idle', 'Terry Gilliam']","A British sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",https://images.justwatch.com/poster/206249724/s276/monty-pythons-flying-circus.webp,
초전자 바이오맨,超電子バイオマン,1984,"{'Watcha': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['69%', '6.7']","['SF', '액션', '판타지', '드라마']",19분,"['Sumiko Tanaka', 'Ryōsuke Sakamoto', 'Yuki Yajima', 'Naoto Ôta', 'Akito Osuga', 'Michiko Makino', 'Yoshiko Ohta']",우주를 지배하기 위한 독타맨의 야망을 저지하기 위한 바이오맨들의 활약을 그린 8번째 슈퍼전대 시리즈,https://images.justwatch.com/poster/138435262/s276/cojeonja-baiomaen.webp,['Nagafumi Hori']
