0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,13318,4984,2062,7810,3789,1742,137,13,1662,3293,2104,6387,6365,6384,6364,6385,6386,6363,6368,6382
2777,1,19143,6377,6378,6379,6380,6381,6382,6383,6384,6375,6385,6386,6387,6388,6389,6390,6391,6376,6374
2174,6728,363,2457,4051,212,2145,5114,2,3,6389,6391,6378,6379,6380,6390,6388,6382,6383,6384,6377
2174,6728,363,2457,4051,212,2145,5114,2,3,6389,6391,6378,6379,6380,6390,6388,6382,6383,6384,6377
453,4,819,366,19143,6384,6378,6379,6380,6381,6382,6383,6386,6385,6376,6387,6388,6389,6390,6391,6377
784,5,1228,6386,6379,6380,6381,6382,6383,6384,6385,6387,6377,6388,6389,6390,6391,6392,6393,6378,6376
2335,6,136,549,3827,2152,333,6386,6385,6384,6383,6387,6382,6388,6381,6389,6380,6379,6390,6378,6377
2773,7,19143,6384,6377,6378,6379,6380,6381,6382,6383,6385,6375,6386,6387,6388,6389,6390,6391,6376,6374
7098,8,3688,13584,3769,2212,42,5424,111,5127,6388,6387,6386,6379,6384,6383,6382,6381,6380,6389,6390
9,271,2270,1894,3478,6392,6391,6390,6389,6388,6393,6380,6387,6386,6385,6384,6383,6382,6381,19143,6379
245,9855,32,11043,47,1753,63,69,1745,79,1727,232,1718,5013,8765,2202,115,3402,128,199,4979
929,11,523,1052,258,6378,6379,6380,6381,6382,6383,6384,19143,6385,6376,6386,6387,6388,6389,6390,6377
249,26,458,151,122,88,2465,2068,12,185,744,6387,6383,6384,6385,6386,19143,6382,6389,6390,6391
0,13318,4984,2062,7810,3789,1742,137,13,1662,3293,2104,6387,6365,6384,6364,6385,6386,6363,6368,6382
1218,924,14,786,6390,6382,6377,6378,6379,6380,6392,6381,6391,6389,6383,6376,6385,6386,6387,6388,6384
80,148,27,18,15,277,275,167,1754,41,6389,6388,6387,6380,6390,6386,6391,6392,6385,6384,6383
2411,16,11302,19143,6381,6376,6377,6378,6379,6380,6382,6374,6383,6384,6385,6386,6387,6388,6389,6390,6375
95,3299,17,1673,22,6390,6389,6388,6391,6387,6378,6385,6384,6392,6383,6382,6381,6380,6393,6379,6386
80,148,27,18,15,277,275,167,1754,41,6389,6388,6387,6380,6390,6386,6391,6392,6385,6384,6383
3294,442,2140,343,434,1215,4953,19,492,6380,6393,6392,6391,6362,6390,6389,6388,6387,6386,6385,6384
20,19143,6383,6377,6378,6379,6380,6381,6382,6384,6393,6385,6386,6387,6388,6389,6390,6391,6376,6375,6374
5444,270,144,255,21,2407,6384,6378,6379,6380,6381,6382,6383,19143,6385,6387,6388,6389,6390,6391,6386
95,3299,17,1673,22,6390,6389,6388,6391,6387,6378,6385,6384,6392,6383,6382,6381,6380,6393,6379,6386
1685,377,1819,23,5142,736,6385,6381,6382,6383,6384,19143,6380,6387,6388,6389,6390,6391,6392,6393,6386
1678,24,2624,5509,19143,6385,6380,6381,6382,6383,6384,6386,6378,6387,6388,6389,6390,6391,6392,6379,6377
9132,1948,25,2085,6719,6385,6379,6380,6381,6382,6383,6384,19143,6377,6386,6387,6388,6389,6390,6391,6392
249,26,458,151,122,88,2465,2068,12,185,744,6387,6383,6384,6385,6386,19143,6382,6389,6390,6391
80,148,27,18,15,277,275,167,1754,41,6389,6388,6387,6380,6390,6386,6391,6392,6385,6384,6383
