0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,4923,2686,6168,10038,13,1845,385,17331,18414,13388,12103,7344,2072,1830,5607,14406,6585,16563,9140,2688
1,1726,3490,12390,12083,2626,1672,7763,12317,12056,2080,11691,18279,2560,3531,12044,5603,10051,14028,3108,2535
2,8676,10475,3,12869,7207,1471,13144,10777,18222,27,11916,17423,18733,6269,1851,10332,12617,14271,9402,5822
3,12733,8676,2,478,1471,9960,12617,2017,5870,9487,2237,6269,13021,2181,12869,10475,18733,18559,13144,12573
4,3632,919,2957,677,9046,2354,5099,2180,3403,12977,5231,431,290,10978,4971,2315,781,11823,10469,3968
5,11896,10861,1473,644,1565,1016,764,12631,11910,1643,1249,1387,7928,5847,4692,11384,1564,1328,5602,5166
6,5303,1516,9953,799,6241,3176,309,12850,3471,7783,16268,15321,5364,5117,14315,9105,2597,10110,4979,468
7,2618,2535,12071,16290,12083,3531,7272,14671,12489,7114,1691,3342,2560,12430,5222,6958,11092,56,14321,7552
8,2099,5423,636,1662,191,16512,15002,2225,629,15877,9081,3004,1014,4590,14409,14367,3202,1993,14904,722
9,373,7863,17329,8696,132,5159,15700,17212,17545,16703,11956,13364,18288,15606,16220,1894,9777,2353,11456,18761
10,780,893,2689,9116,11147,4180,161,14853,7468,10036,1014,419,1734,3738,3895,11458,8396,14463,7882,2790
11,11737,9033,768,11502,9539,13497,6853,3639,7312,725,18997,14716,9131,6845,2926,1254,14996,14991,15921,14582
12,9655,11545,26,11451,1922,18394,4311,13876,18496,11121,14726,18590,8400,2712,2170,88,6357,3698,2902,13583
13,0,1845,6168,4923,12225,2686,5052,6305,10038,13388,722,5385,10068,1043,1404,10622,2491,37,3435,8425
14,17743,8839,883,732,2012,15434,17667,8351,15600,751,16917,18225,6973,6573,6037,872,929,6433,16370,2721
15,15502,2805,5909,11308,7582,13851,9905,6349,129,488,8117,9143,15198,540,8047,3162,16101,10168,2028,2051
16,3323,120,9781,65,15276,16312,15722,12778,493,934,7795,10795,10664,17588,13501,7004,11456,7533,2626,7120
17,7785,11868,22,2007,9644,6088,15190,17996,1660,18310,11368,10692,15379,8702,3470,11264,1656,4299,15468,8144
18,3659,2130,2070,4315,6501,821,11372,3595,7963,14009,5098,6695,8328,8439,8868,6945,13597,2393,9137,2784
19,17634,2039,16017,14527,18415,13863,12664,246,8969,393,2807,16242,18951,16495,18653,258,13425,13904,954,18500
20,16902,2851,12666,11422,10039,15509,2403,2116,2535,632,624,3935,3838,8271,836,8812,11603,3749,5249,15043
21,1650,3505,8690,867,6697,3058,7508,8337,611,12194,881,8243,281,784,14052,8381,3657,2,7795,17588
22,2007,7785,8702,2591,17,11055,14393,6990,18982,11368,7113,7151,1973,6169,856,6932,17329,17002,16603,2881
23,4781,11181,4970,2580,8017,995,16154,8471,14345,2247,253,8286,12251,5439,5284,15797,2573,9319,17669,3326
24,624,2535,2120,5249,9171,2448,16220,2918,11603,3870,5867,1781,2905,9975,11582,4159,3824,1561,1595,3537
25,1231,10737,13452,10537,7847,3721,7204,59,6278,7450,8822,6760,12170,7217,1674,16677,16033,13588,10706,10658
26,3187,88,1922,1444,613,11429,5281,1993,12,17227,3283,912,8938,9289,5434,3600,829,399,13213,2060
27,15470,10475,7934,18305,11525,16291,698,11303,13144,13479,12869,7207,4024,15643,2651,6652,18173,684,5968,18727
28,4320,8427,6147,15081,13268,18711,12365,8436,9115,17185,7155,4008,4800,12389,4294,582,4653,2734,9726,2130
29,3704,481,7020,324,4209,7945,3463,15290,18421,7006,4569,13834,17620,10045,1946,4118,13845,9618,4643,6340
30,9547,8094,3773,5435,1726,11164,12083,342,12235,5535,12051,10978,2626,12044,6958,2560,1701,12124,12390,3108
31,17285,18008,310,12396,7531,15349,14380,1575,13258,5268,14827,12381,10150,266,1841,4972,5349,980,14259,2264
32,3402,63,47,799,18531,5424,8598,1038,6,14360,10699,4212,8756,2150,12415,19053,10110,9953,489,576
33,1691,5222,11092,7057,4588,5435,2607,16037,6958,3149,2535,1667,3531,1920,12226,2587,9456,4841,17946,3664
34,15201,431,13065,14234,13846,11009,18932,8260,14515,13036,10978,4819,36,2181,11392,8610,1813,9397,11340,8218
35,6901,9508,18240,2931,13465,18421,11494,2341,7020,13304,3277,15290,1222,18676,4669,17234,13754,1250,361,6915
36,3627,15187,7555,10761,5248,2709,19027,17065,17018,34,5931,9385,17233,15048,261,2795,3885,13065,8009,6538
37,1770,81,11289,11200,6292,3461,7291,175,11016,17230,1282,11926,11619,10042,11856,7942,10723,793,5842,6681
38,7544,7569,15124,600,15464,14757,14383,15089,18913,2849,14952,6538,10459,18828,18462,17604,11809,16840,4801,12210
39,2743,6746,9779,7904,9015,14934,16130,4946,2395,16424,8540,11139,3655,18135,10929,9617,18159,5663,11826,6742
40,13917,17488,1936,9926,8898,4661,14980,8588,10077,8730,13229,5406,12988,7540,10900,10742,7163,9793,6796,15858
41,18679,13306,2513,14262,5930,16139,2688,16681,1818,1119,1737,2167,2036,11905,13605,15618,7777,15378,4478,7657
42,5978,16560,2575,7207,8427,13388,6518,12807,9774,6291,151,9125,10978,11932,5614,5701,18008,16128,3113,15223
43,785,933,4972,242,1091,10708,6386,3866,2781,10430,4081,10483,14203,896,1821,4070,16145,13296,6829,2675
44,8959,1148,8939,952,17728,15234,9912,14019,3950,13883,7819,14528,9264,466,2331,354,7155,2474,13173,18572
45,9151,13135,914,3769,3799,7737,12677,3417,4205,6805,5512,12673,3525,17656,108,4158,9590,734,5412,17218
46,130,195,10324,264,2542,17423,4625,1749,7796,1174,10519,7827,16866,2786,2754,10456,17451,785,6689,662
47,3402,32,63,5791,5768,3076,12415,4691,15523,2145,1637,14270,9928,11394,1526,2397,12309,4668,9018,1901
48,14492,860,1073,5201,5423,7079,16438,14257,4346,6557,9377,2325,3378,13980,17781,4028,5880,13399,9924,6569
49,8438,3578,6478,6886,12320,8690,4632,8794,17544,18589,2823,11073,3644,6582,2686,776,2546,476,186,7888
50,5852,17013,16246,9165,6847,13096,15595,12598,9092,4247,15747,6625,16173,16092,4144,2499,7478,13742,4427,5866
51,11222,15573,7206,2570,738,2631,10628,291,7084,1091,18287,2427,5778,3784,726,707,15403,2081,3957,6301
52,14511,4243,15285,1332,3338,9234,104,1820,3700,2959,10089,10256,1773,5276,5229,1097,326,5606,4164,3376
53,1977,2104,7361,860,9921,3324,2212,18831,108,4946,16556,2180,12022,15577,6687,1887,7988,15263,6704,17542
54,720,2330,13865,2405,11224,4305,421,796,1222,6200,2099,14309,1662,636,1594,191,11548,17595,1299,18944
55,2214,2748,6685,15152,7967,13144,3090,14628,9885,8423,298,8214,2374,6348,9633,10475,7997,352,569,10086
56,155,12071,16379,7272,2945,17006,7,16290,12083,13501,2560,30,9793,202,3043,12489,11120,11003,17482,10948
57,433,2074,3116,313,5144,15248,99,2826,11513,1117,2803,408,1866,6384,1718,14604,937,5169,4006,1030
58,127,6685,2748,5638,15152,17113,7967,3090,8352,569,13022,11751,17423,9633,10086,5237,298,5113,1883,9969
59,15349,4972,10150,2803,2611,10638,11932,15057,11458,141,5736,3113,10820,11122,25,11055,15922,14675,11486,5105
60,15822,3171,1399,12986,11900,1195,5171,4779,9714,8673,359,6603,1371,18172,16923,18658,17855,4715,10764,3587
61,4854,3355,11392,16063,9215,8066,17799,8784,9830,8979,7072,2158,8710,10767,2114,11110,9761,6262,3359,6544
62,1128,1837,9959,7874,7242,11022,80,16312,927,10976,3598,413,14927,7221,3739,4981,17674,893,3171,8870
63,3402,32,1174,1038,47,12415,707,2570,7444,1749,11222,4625,7206,13070,5183,5338,10902,2427,2519,2786
64,103,431,5424,15286,896,17212,10593,15265,871,166,11746,1927,16115,11922,2670,99,1768,4835,7999,7773
65,3323,9781,16,120,10008,6030,12320,11339,11168,2009,13583,3578,6478,6576,8438,6394,10958,1544,1116,4540
66,2670,1927,218,1754,13285,8882,4090,14678,485,5523,1862,15890,1758,13276,9159,5305,5330,434,1154,17672
67,447,9299,7181,12969,8311,6692,10683,13342,1539,878,8706,1167,17295,1180,9711,16402,11113,1231,5953,479
68,433,8649,2074,3116,99,313,57,15248,1183,10004,11513,1030,6576,7219,1117,1718,10698,2014,6075,2195
69,7776,11102,12733,1970,5460,8653,12661,11618,9022,8252,1604,6390,10992,17993,17792,5608,9694,11905,3564,2025
70,5135,5773,9456,12375,7350,8779,5270,8759,84,1447,12043,1750,845,17497,15225,853,924,13336,6717,12766
71,10021,2091,477,2981,3850,17455,1403,6709,312,6055,576,6184,1296,1947,4973,1173,7466,1049,9985,2483
72,14944,4509,6393,13443,12789,7816,6983,6892,1802,16626,6664,3475,4433,8839,14607,3941,8427,4855,15377,1867
73,6773,1999,2200,10108,3726,964,5251,6818,6673,272,810,3963,2412,14873,5446,2267,8909,13215,10800,1697
74,7360,10320,15237,15304,5286,14945,7409,17756,6027,2511,17645,2331,10673,15234,3336,13558,515,2491,11436,5996
75,1698,2079,14669,16826,6131,9084,17189,916,5161,5282,16784,4320,8123,13429,4224,12312,2613,3587,18757,9688
76,4770,5385,3697,13111,389,15391,13747,3097,15332,4305,1233,1075,10388,2409,9625,9015,5720,15220,9834,148
77,7807,386,367,190,3603,11443,2697,11528,7468,611,6587,3585,10458,17666,9684,1968,9127,10492,7832,12562
78,16879,4970,10124,2247,3957,17652,2151,607,5284,1000,9582,11181,5043,5577,14641,9122,2203,704,14388,2101
79,12798,2106,2802,605,5639,7839,6856,2431,13512,919,14772,5766,5606,3629,11779,5585,366,15915,5528,14229
80,7221,8784,4019,5234,15662,10149,1800,62,11638,19072,18996,8689,10915,5494,7874,7043,8721,3689,2317,11079
