0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,4353,586,1846,7800,7576,7302,6994,6213,5655,5618,5386,5251,5156,4219,9611,3432,3346,2984,2886,1672
5658,5837,1,6749,4271,1829,2811,2971,5956,4886,420,768,5407,6733,5398,5597,301,2904,2833,2852,4885
8676,11040,1390,11047,9783,11060,3896,3059,2133,11328,8277,2,3,11870,11208,3128,11943,373,9775,9761,7803
8676,11040,1390,11047,9783,11060,3896,3059,2133,11328,8277,2,3,11870,11208,3128,11943,373,9775,9761,7803
10883,5578,13190,10135,13353,2633,3644,3517,120,2420,240,6989,4,8301,4072,13250,8765,3289,13319,5435,13376
2533,9618,10293,10277,10201,10113,10101,10038,9897,1794,1713,9382,9352,9326,9325,9262,9218,9054,10349,10405,6407
1291,11889,6600,4335,11487,11514,11762,11338,3937,2542,8369,11734,6,3858,1211,11073,1095,2012,640,1462,11823
3754,3787,7,4802,5225,6035,3990,6518,5237,2856,376,884,6378,4008,2593,3956,2529,1838,207,467,5470
4104,2434,4851,4126,2391,7706,1176,12827,1632,7727,12448,7002,4099,2436,4214,2444,7245,747,2460,10513,6887
439,2114,10280,2270,4869,4831,373,10635,10709,8774,2591,8673,8664,11306,8590,11053,11065,7803,132,5140,10122
6804,13449,491,952,13469,9863,9563,1849,10926,5604,409,13434,8017,972,1206,13536,6729,1364,4852,9813,6732
9699,15067,551,1816,4625,10969,1213,11,1126,15305,10924,15205,15343,3569,12181,12130,7321,572,12379,482,12057
14164,3393,9227,7432,13894,13892,10759,1718,2992,13854,7841,6843,13395,13411,13645,2128,10835,456,5499,13931,102
13,5341,7352,7434,18490,2940,2360,13118,7019,5052,12603,1845,5748,8193,10261,13730,7388,4176,13847,13878,13890
14,14208,13506,115,14310,13525,2415,10608,13904,4724,3588,3703,6280,7809,1041,1604,10748,5579,10415,12479,5584
15276,4623,15257,8144,7101,9501,4299,15168,5566,15247,7178,8066,4761,7219,10279,15289,15253,4151,15298,15218,5709
2538,625,5352,4983,9752,3347,10186,12189,2030,12220,12239,12506,1667,5461,16,1726,12493,12071,1787,12453,1851
7998,856,11560,6237,162,1913,6452,11758,6118,9847,11759,305,6483,8321,5982,10814,4482,4478,7881,5342,10854
18,13828,14147,12184,6175,2155,18310,3132,7749,14102,10725,13446,6396,11477,10954,9789,11466,7852,2009,10935,6234
8454,662,7962,7580,14069,9012,13181,7782,19,299,13851,941,13765,691,2721,8141,7675,13918,4168,3914,9514
1310,20,1595,9601,7105,458,217,2188,13372,13555,13364,1080,781,6791,679,1842,3215,966,1856,1012,13753
12498,12696,7621,2232,12711,10283,8714,12703,12698,12697,12695,12717,2305,5076,12689,12679,12678,12673,12672,12671,12714
7998,856,11560,6237,162,1913,6452,11758,6118,9847,11759,305,6483,8321,5982,10814,4482,4478,7881,5342,10854
3164,2851,10379,4807,10361,13140,10354,4817,10339,12983,10330,10319,10290,12979,1557,12637,4839,10241,10240,10234,10212
1218,3681,2717,5142,24,2737,542,1207,4183,3613,4020,4951,3340,6439,470,503,5676,5290,5096,238,3854
2897,5508,2624,3485,803,2084,2273,600,2381,1425,2502,2959,615,776,2961,1011,5752,3428,323,2277,916
8760,3397,5132,2356,360,14351,354,1675,329,2341,4985,14220,3430,2331,4919,4891,14153,14140,272,267,264
13537,14163,6740,13248,9896,13259,9339,14021,14020,2952,6836,13991,9359,13315,13317,13321,13327,13976,13333,13338,7034
2897,5508,2624,3485,803,2084,2273,600,2381,1425,2502,2959,615,776,2961,1011,5752,3428,323,2277,916
13537,14163,6740,13248,9896,13259,9339,14021,14020,2952,6836,13991,9359,13315,13317,13321,13327,13976,13333,13338,7034
12753,7440,10683,12632,12684,12690,605,10800,2802,12092,9456,13049,13150,5136,2160,5931,5528,1776,12545,7181,12532
3670,8599,12072,5800,12551,5149,2987,1008,12062,2606,7062,3860,7030,12464,13028,8592,6177,7053,6166,3017,5119
1502,12033,11828,11256,4574,11961,11989,9577,11917,11400,2949,11962,1286,1290,9336,6527,1414,11982,6461,10368,5563
1000,5857,12855,5506,12813,2563,5329,675,12770,12762,10846,10914,12587,5063,12572,4393,12042,4208,4084,1468,12116
4283,6514,6553,1184,3417,11798,6581,6598,6617,3088,11763,6639,6642,2751,764,2500,11637,6539,11862,6157,11865
8004,9309,13270,6901,13556,3740,13260,3842,10045,639,2202,10573,9855,13631,3604,35,4009,10168,8762,5537,11303
14164,3393,9227,7432,13894,13892,10759,1718,2992,13854,7841,6843,13395,13411,13645,2128,10835,456,5499,13931,102
10289,11200,4925,2088,9038,11237,6341,1709,5082,8231,3987,4963,143,11849,11193,2060,3971,11187,10735,5061,10746
2897,5508,2624,3485,803,2084,2273,600,2381,1425,2502,2959,615,776,2961,1011,5752,3428,323,2277,916
39,4166,11050,11104,2001,3433,2191,17018,15423,17360,15866,8869,3232,9248,295,10378,5030,1189,10146,2222,5782
6673,5031,12314,10720,8764,3660,12402,12408,1936,2153,113,3750,12435,5468,8920,96,2040,7164,40,8197,12272
3683,41,8929,4130,276,9977,145,575,15031,14949,15133,275,14479,1526,1546,284,1578,14463,14456,8331,1745
1435,15003,365,15021,9998,15020,15018,9973,15014,15013,15012,15011,15010,15009,15007,15005,15001,6022,14998,14992,9959
5366,10074,6049,14818,1037,2206,7242,7241,10077,1792,8782,7238,14816,6096,4763,6099,6102,7228,8809,7222,651
3164,2851,10379,4807,10361,13140,10354,4817,10339,12983,10330,10319,10290,12979,1557,12637,4839,10241,10240,10234,10212
4104,2434,4851,4126,2391,7706,1176,12827,1632,7727,12448,7002,4099,2436,4214,2444,7245,747,2460,10513,6887
1850,46,414,12905,12361,13016,3398,2447,7904,2097,990,2656,8481,130,6931,9397,2104,1685,8283,12158,10886
1502,12033,11828,11256,4574,11961,11989,9577,11917,11400,2949,11962,1286,1290,9336,6527,1414,11982,6461,10368,5563
6871,2652,8840,1757,10695,1717,4513,8687,6191,7374,1998,6082,14874,484,4953,14842,3220,14733,5266,561,8256
5505,1165,6741,2049,4301,1203,327,335,902,1410,49,3735,4396,1837,6652,2555,4285,543,567,5419,2570
12051,3579,1726,2525,5131,5243,1787,3407,1851,1889,3312,5848,2228,2231,10270,2253,3001,2756,6808,2378,7114
14164,3393,9227,7432,13894,13892,10759,1718,2992,13854,7841,6843,13395,13411,13645,2128,10835,456,5499,13931,102
3670,8599,12072,5800,12551,5149,2987,1008,12062,2606,7062,3860,7030,12464,13028,8592,6177,7053,6166,3017,5119
1435,15003,365,15021,9998,15020,15018,9973,15014,15013,15012,15011,15010,15009,15007,15005,15001,6022,14998,14992,9959
11233,8217,2061,11580,11569,3179,3177,9929,8186,11333,11549,8837,11529,4654,727,5944,6233,4233,11526,6526,11520
9579,6774,2220,127,1958,4827,12399,178,12598,3621,7093,1575,6694,4507,1376,5859,4362,5301,4178,13110,4270
12226,4646,5080,184,58,56,2017,12982,12120,1360,1365,155,10025,239,4518,7763,13107,4210,9366,7133,10843
1435,15003,365,15021,9998,15020,15018,9973,15014,15013,15012,15011,15010,15009,15007,15005,15001,6022,14998,14992,9959
12226,4646,5080,184,58,56,2017,12982,12120,1360,1365,155,10025,239,4518,7763,13107,4210,9366,7133,10843
9782,690,1543,11843,6595,8112,1916,2757,9431,11113,11215,11285,3217,11093,6327,10834,140,11600,11784,59,3102
14469,14648,4149,5984,14901,4640,14684,7818,15146,4739,512,2235,2260,2337,121,683,2467,2471,2531,15056,60
5003,1541,12026,4466,3527,6596,11820,11548,11980,8740,5265,11678,9312,6331,11114,1769,6573,11972,11429,12009,8824
1562,7466,1241,5344,4958,3859,2660,2689,1136,2911,4135,8346,1035,1024,1599,62,1966,1266,13223,979,13256
1502,12033,11828,11256,4574,11961,11989,9577,11917,11400,2949,11962,1286,1290,9336,6527,1414,11982,6461,10368,5563
1148,463,844,4836,4835,958,1343,14381,231,579,824,147,64,871,14518,8900,1531,689,395,165,14553
2533,9618,10293,10277,10201,10113,10101,10038,9897,1794,1713,9382,9352,9326,9325,9262,9218,9054,10349,10405,6407
12705,9735,1300,2780,169,1917,12461,2581,3810,1679,918,12415,6036,2508,12923,2458,1508,2195,2826,2869,85
5435,5112,13319,13250,8250,13199,5925,1691,6692,1733,405,13169,8765,14091,13376,3616,4906,4072,3289,4858,4984
8760,3397,5132,2356,360,14351,354,1675,329,2341,4985,14220,3430,2331,4919,4891,14153,14140,272,267,264
7998,856,11560,6237,162,1913,6452,11758,6118,9847,11759,305,6483,8321,5982,10814,4482,4478,7881,5342,10854
70,3404,12432,12162,12366,9044,8168,663,2194,3856,12542,4412,12237,12178,3658,2110,9383,10163,9892,1159,3339
1948,4192,71,1686,1066,2653,820,5650,562,4250,2790,1087,3095,3924,3953,5322,3210,2974,1153,4833,1197
2085,5786,417,72,1073,3476,336,1614,1463,3341,5015,3915,1925,1480,5504,5163,2838,4303,1791,1627,4237
4104,2434,4851,4126,2391,7706,1176,12827,1632,7727,12448,7002,4099,2436,4214,2444,7245,747,2460,10513,6887
14164,3393,9227,7432,13894,13892,10759,1718,2992,13854,7841,6843,13395,13411,13645,2128,10835,456,5499,13931,102
2897,5508,2624,3485,803,2084,2273,600,2381,1425,2502,2959,615,776,2961,1011,5752,3428,323,2277,916
8760,3397,5132,2356,360,14351,354,1675,329,2341,4985,14220,3430,2331,4919,4891,14153,14140,272,267,264
1944,14450,3777,6805,7415,3779,3803,3809,3815,14936,5612,14462,190,14964,6728,8736,4501,14993,15017,9127,4071
3164,2851,10379,4807,10361,13140,10354,4817,10339,12983,10330,10319,10290,12979,1557,12637,4839,10241,10240,10234,10212
12051,3579,1726,2525,5131,5243,1787,3407,1851,1889,3312,5848,2228,2231,10270,2253,3001,2756,6808,2378,7114
9906,798,772,773,8331,1295,7043,1578,14633,14614,1634,10073,2922,940,14957,939,937,7933,4307,80,15008
10289,11200,4925,2088,9038,11237,6341,1709,5082,8231,3987,4963,143,11849,11193,2060,3971,11187,10735,5061,10746
11589,11624,8435,7848,6284,6339,5681,11041,10426,6349,6509,6507,5653,11383,8528,3435,11616,2255,6505,2156,2149
83,7773,13617,11280,10069,16970,1343,165,689,824,958,147,579,14381,463,1531,14553,8900,395,7023,14518
84,139,674,4207,5270,5663,5057,853,4941,3956,2529,2593,1838,6438,5201,3459,884,2856,376,5110,4947
12705,9735,1300,2780,169,1917,12461,2581,3810,1679,918,12415,6036,2508,12923,2458,1508,2195,2826,2869,85
11233,8217,2061,11580,11569,3179,3177,9929,8186,11333,11549,8837,11529,4654,727,5944,6233,4233,11526,6526,11520
10289,11200,4925,2088,9038,11237,6341,1709,5082,8231,3987,4963,143,11849,11193,2060,3971,11187,10735,5061,10746
14164,3393,9227,7432,13894,13892,10759,1718,2992,13854,7841,6843,13395,13411,13645,2128,10835,456,5499,13931,102
12589,13066,1994,12628,1411,7351,7357,3900,4236,7493,1404,1843,1402,10696,855,13078,1395,8234,1392,13126,1416
1435,15003,365,15021,9998,15020,15018,9973,15014,15013,15012,15011,15010,15009,15007,15005,15001,6022,14998,14992,9959
3164,2851,10379,4807,10361,13140,10354,4817,10339,12983,10330,10319,10290,12979,1557,12637,4839,10241,10240,10234,10212
2775,1149,5734,814,181,2676,4194,2075,2684,1137,775,5078,2791,2812,2815,736,1879,1877,5539,5803,2647
4104,2434,4851,4126,2391,7706,1176,12827,1632,7727,12448,7002,4099,2436,4214,2444,7245,747,2460,10513,6887
10099,4056,4055,94,3796,3479,3376,5345,5590,2612,504,7037,269,4581,9226,4489,15225,15922,4065,12712,304
11273,11117,11161,8930,5333,11177,6478,11203,5531,5644,95,9023,5670,5744,1986,5779,174,6574,2107,6569,9567
6673,5031,12314,10720,8764,3660,12402,12408,1936,2153,113,3750,12435,5468,8920,96,2040,7164,40,8197,12272
12498,12696,7621,2232,12711,10283,8714,12703,12698,12697,12695,12717,2305,5076,12689,12679,12678,12673,12672,12671,12714
12498,12696,7621,2232,12711,10283,8714,12703,12698,12697,12695,12717,2305,5076,12689,12679,12678,12673,12672,12671,12714
2873,1523,1276,307,99,632,4181,509,847,103,2371,2532,2818,1370,1477,699,3557,227,3723,1208,5634
4283,6514,6553,1184,3417,11798,6581,6598,6617,3088,11763,6639,6642,2751,764,2500,11637,6539,11862,6157,11865
11585,101,2055,8278,12003,8027,7820,9019,11150,10958,9040,11125,6424,11723,5616,9134,11444,982,3107,8433,13780
14164,3393,9227,7432,13894,13892,10759,1718,2992,13854,7841,6843,13395,13411,13645,2128,10835,456,5499,13931,102
103,509,1370,2818,632,1477,2371,307,99,2873,1276,1523,2532,847,4181,227,699,1208,3557,3723,6381
13501,13493,6217,9426,14038,2671,3700,5299,7568,14242,3674,14070,10224,10773,10315,13273,6975,8972,5177,5144,13445
1435,15003,365,15021,9998,15020,15018,9973,15014,15013,15012,15011,15010,15009,15007,15005,15001,6022,14998,14992,9959
106,304,12712,5091,9226,4489,4581,1744,149,8732,12523,5590,5345,504,2612,6888,7562,14584,7096,8089,15372
14483,1499,1454,1091,3418,5161,388,219,8777,107,1212,493,1219,1406,7913,4264,869,9909,2913,10147,2027
5366,10074,6049,14818,1037,2206,7242,7241,10077,1792,8782,7238,14816,6096,4763,6099,6102,7228,8809,7222,651
8760,3397,5132,2356,360,14351,354,1675,329,2341,4985,14220,3430,2331,4919,4891,14153,14140,272,267,264
110,1326,7772,3018,1085,13726,10517,2726,7206,10689,1092,11425,1198,1367,1253,1261,3406,8817,3539,7778,1134
5366,10074,6049,14818,1037,2206,7242,7241,10077,1792,8782,7238,14816,6096,4763,6099,6102,7228,8809,7222,651
3670,8599,12072,5800,12551,5149,2987,1008,12062,2606,7062,3860,7030,12464,13028,8592,6177,7053,6166,3017,5119
6673,5031,12314,10720,8764,3660,12402,12408,1936,2153,113,3750,12435,5468,8920,96,2040,7164,40,8197,12272
2844,114,5692,6960,12700,7169,2924,3319,10249,13901,4406,11943,6787,16393,17900,16761,17902,17172,17681,7467,12058
115,14310,13525,13506,14208,14,10608,2415,13904,1604,3703,7809,4724,1041,6280,3588,18241,3545,3929,4134,870
12498,12696,7621,2232,12711,10283,8714,12703,12698,12697,12695,12717,2305,5076,12689,12679,12678,12673,12672,12671,12714
123,8409,2147,10816,5164,1930,14241,2266,9823,2680,1178,9011,552,117,10127,211,2613,1050,5403,13845,13426
10289,11200,4925,2088,9038,11237,6341,1709,5082,8231,3987,4963,143,11849,11193,2060,3971,11187,10735,5061,10746
11826,6300,766,6305,11351,11334,9123,7830,4053,2297,3553,3899,1150,2116,1727,5045,2549,3530,3655,471,10060
10883,5578,13190,10135,13353,2633,3644,3517,120,2420,240,6989,4,8301,4072,13250,8765,3289,13319,5435,13376
14469,14648,4149,5984,14901,4640,14684,7818,15146,4739,512,2235,2260,2337,121,683,2467,2471,2531,15056,60
9906,798,772,773,8331,1295,7043,1578,14633,14614,1634,10073,2922,940,14957,939,937,7933,4307,80,15008
123,8409,2147,10816,5164,1930,14241,2266,9823,2680,1178,9011,552,117,10127,211,2613,1050,5403,13845,13426
10289,11200,4925,2088,9038,11237,6341,1709,5082,8231,3987,4963,143,11849,11193,2060,3971,11187,10735,5061,10746
943,10193,13184,8122,10165,148,5340,4280,1311,1447,7424,8587,1185,3757,13358,4847,125,1323,3699,907,13389
15324,8426,15316,15317,15319,15320,7721,15323,4576,15326,15327,5434,15329,15338,15339,15341,15342,10304,15345,15347,15349
9579,6774,2220,127,1958,4827,12399,178,12598,3621,7093,1575,6694,4507,1376,5859,4362,5301,4178,13110,4270
13537,14163,6740,13248,9896,13259,9339,14021,14020,2952,6836,13991,9359,13315,13317,13321,13327,13976,13333,13338,7034
3914,13765,883,13678,2721,7675,129,606,13918,13534,13489,488,4154,10770,8141,4564,4168,2540,4558,4556,13350
1850,46,414,12905,12361,13016,3398,2447,7904,2097,990,2656,8481,130,6931,9397,2104,1685,8283,12158,10886
3670,8599,12072,5800,12551,5149,2987,1008,12062,2606,7062,3860,7030,12464,13028,8592,6177,7053,6166,3017,5119
439,2114,10280,2270,4869,4831,373,10635,10709,8774,2591,8673,8664,11306,8590,11053,11065,7803,132,5140,10122
3164,2851,10379,4807,10361,13140,10354,4817,10339,12983,10330,10319,10290,12979,1557,12637,4839,10241,10240,10234,10212
533,134,2682,3587,2603,3552,3511,5580,1700,4971,6068,2115,4422,1960,994,5954,5098,2265,803,5273,3093
1000,5857,12855,5506,12813,2563,5329,675,12770,12762,10846,10914,12587,5063,12572,4393,12042,4208,4084,1468,12116
136,591,665,2718,5457,2691,11320,2355,3867,954,8039,8567,10584,3519,2442,3749,205,4876,2134,2452,2950
1000,5857,12855,5506,12813,2563,5329,675,12770,12762,10846,10914,12587,5063,12572,4393,12042,4208,4084,1468,12116
9652,138,1433,2590,5749,6275,1100,929,11936,765,8793,10461,869,9909,14477,7163,14483,219,493,2913,6230
4207,674,139,5270,84,2593,3956,1838,2529,6438,3459,5201,5663,5057,853,4941,5242,5633,4198,2514,5836
9782,690,1543,11843,6595,8112,1916,2757,9431,11113,11215,11285,3217,11093,6327,10834,140,11600,11784,59,3102
3670,8599,12072,5800,12551,5149,2987,1008,12062,2606,7062,3860,7030,12464,13028,8592,6177,7053,6166,3017,5119
142,2497,5267,7278,310,476,429,6987,14617,3118,14648,5178,3558,5186,3609,5187,15146,14901,4739,2471,14469
10289,11200,4925,2088,9038,11237,6341,1709,5082,8231,3987,4963,143,11849,11193,2060,3971,11187,10735,5061,10746
1382,2087,144,8008,5430,11793,8733,971,11804,431,654,11746,387,2152,1023,6754,5335,6218,8332,1610,11111
3683,41,8929,4130,276,9977,145,575,15031,14949,15133,275,14479,1526,1546,284,1578,14463,14456,8331,1745
14161,13875,4754,13744,13899,8823,7564,7355,13752,13368,8003,13887,14104,13569,9412,4829,13761,14125,8922,13979,13391
1148,463,844,4836,4835,958,1343,14381,231,579,824,147,64,871,14518,8900,1531,689,395,165,14553
943,10193,13184,8122,10165,148,5340,4280,1311,1447,7424,8587,1185,3757,13358,4847,125,1323,3699,907,13389
8732,149,12523,1744,3875,5934,12222,8089,6453,6132,12080,7042,6155,12106,8068,5431,1921,8042,7074,4375,12191
2533,9618,10293,10277,10201,10113,10101,10038,9897,1794,1713,9382,9352,9326,9325,9262,9218,9054,10349,10405,6407
14164,3393,9227,7432,13894,13892,10759,1718,2992,13854,7841,6843,13395,13411,13645,2128,10835,456,5499,13931,102
14528,2455,14542,152,7875,1771,8306,14891,7197,2164,14519,7512,1684,10676,1683,14505,10643,14495,14494,14909,5893
9015,13694,1941,13416,2687,13289,313,8909,13288,13633,875,13923,6148,3878,8730,13216,13827,13237,13240,13344,5404
13537,14163,6740,13248,9896,13259,9339,14021,14020,2952,6836,13991,9359,13315,13317,13321,13327,13976,13333,13338,7034
12226,4646,5080,184,58,56,2017,12982,12120,1360,1365,155,10025,239,4518,7763,13107,4210,9366,7133,10843
2965,156,11272,5782,3535,11572,1772,11380,11376,5714,5760,11049,4497,2903,6441,6469,6309,11579,1175,8356,7677
6196,3386,157,1753,14776,5970,7780,10919,14629,14603,14547,14401,5909,10955,523,7265,14926,14574,10054,15025,14517
5003,1541,12026,4466,3527,6596,11820,11548,11980,8740,5265,11678,9312,6331,11114,1769,6573,11972,11429,12009,8824
159,5777,800,6475,11460,11894,11928,11489,11949,11974,9665,11836,3265,11735,10456,4226,2046,11691,6400,693,1933
7807,160,306,3603,11419,2782,5588,2559,7148,8382,1191,15033,5209,9281,7473,5986,14703,14894,14621,2373,427
12498,12696,7621,2232,12711,10283,8714,12703,12698,12697,12695,12717,2305,5076,12689,12679,12678,12673,12672,12671,12714
7998,856,11560,6237,162,1913,6452,11758,6118,9847,11759,305,6483,8321,5982,10814,4482,4478,7881,5342,10854
8760,3397,5132,2356,360,14351,354,1675,329,2341,4985,14220,3430,2331,4919,4891,14153,14140,272,267,264
3019,4153,1615,1622,1617,1515,799,6648,11844,4991,2145,3988,4666,891,1065,4692,6448,8541,8843,2597,10895
1148,463,844,4836,4835,958,1343,14381,231,579,824,147,64,871,14518,8900,1531,689,395,165,14553
5366,10074,6049,14818,1037,2206,7242,7241,10077,1792,8782,7238,14816,6096,4763,6099,6102,7228,8809,7222,651
8760,3397,5132,2356,360,14351,354,1675,329,2341,4985,14220,3430,2331,4919,4891,14153,14140,272,267,264
168,3918,9979,11183,4916,6748,8114,2384,9298,12363,4203,2294,2537,12360,2569,9373,12353,2648,7555,2347,2257
12705,9735,1300,2780,169,1917,12461,2581,3810,1679,918,12415,6036,2508,12923,2458,1508,2195,2826,2869,85
10289,11200,4925,2088,9038,11237,6341,1709,5082,8231,3987,4963,143,11849,11193,2060,3971,11187,10735,5061,10746
2820,12955,1822,12321,1990,2424,620,9937,7412,12081,4098,171,3986,2394,5758,7218,12057,7321,10996,3569,10377
15324,8426,15316,15317,15319,15320,7721,15323,4576,15326,15327,5434,15329,15338,15339,15341,15342,10304,15345,15347,15349
4104,2434,4851,4126,2391,7706,1176,12827,1632,7727,12448,7002,4099,2436,4214,2444,7245,747,2460,10513,6887
11273,11117,11161,8930,5333,11177,6478,11203,5531,5644,95,9023,5670,5744,1986,5779,174,6574,2107,6569,9567
5003,1541,12026,4466,3527,6596,11820,11548,11980,8740,5265,11678,9312,6331,11114,1769,6573,11972,11429,12009,8824
7609,9727,4059,9737,14248,8446,4063,14252,14255,14257,7639,13657,14042,14274,9713,7636,302,14277,14284,13662,14238
7609,9727,4059,9737,14248,8446,4063,14252,14255,14257,7639,13657,14042,14274,9713,7636,302,14277,14284,13662,14238
9579,6774,2220,127,1958,4827,12399,178,12598,3621,7093,1575,6694,4507,1376,5859,4362,5301,4178,13110,4270
12419,494,1953,10550,4942,6130,7651,179,3595,8530,2567,3759,6921,10655,12263,2339,2403,1694,604,7905,12159
13433,3716,6970,2433,180,13356,14191,8303,13862,10817,13241,1765,1797,7367,14304,7088,5896,11629,11861,3078,11015
2775,1149,5734,814,181,2676,4194,2075,2684,1137,775,5078,2791,2812,2815,736,1879,1877,5539,5803,2647
1237,14377,2385,1134,830,182,14471,2719,864,1421,630,733,12168,9751,298,4310,1092,10689,1236,896,844
1435,15003,365,15021,9998,15020,15018,9973,15014,15013,15012,15011,15010,15009,15007,15005,15001,6022,14998,14992,9959
12226,4646,5080,184,58,56,2017,12982,12120,1360,1365,155,10025,239,4518,7763,13107,4210,9366,7133,10843
991,13167,1339,185,2622,8634,3131,2914,9642,7752,13814,3464,5423,13238,9095,3259,5724,7018,3905,5205,14283
567,3912,5181,2614,2271,5490,993,5419,1788,6116,3524,2261,955,3832,4322,246,186,890,1902,2570,2665
2407,1946,5651,3065,8708,2221,11051,11238,406,2402,2898,3673,5843,11254,6232,549,2750,4075,2916,11230,8475
2533,9618,10293,10277,10201,10113,10101,10038,9897,1794,1713,9382,9352,9326,9325,9262,9218,9054,10349,10405,6407
12787,5115,12248,513,12609,189,7792,12452,9790,12579,7445,12932,12566,3830,7907,9400,3820,673,9217,8042,6155
1944,14450,3777,6805,7415,3779,3803,3809,3815,14936,5612,14462,190,14964,6728,8736,4501,14993,15017,9127,4071
15324,8426,15316,15317,15319,15320,7721,15323,4576,15326,15327,5434,15329,15338,15339,15341,15342,10304,15345,15347,15349
14164,3393,9227,7432,13894,13892,10759,1718,2992,13854,7841,6843,13395,13411,13645,2128,10835,456,5499,13931,102
12398,8236,12362,7201,8296,8045,4358,3067,7891,2171,1285,12059,9322,12061,7722,193,13111,636,7430,6146,13062
3440,15150,5997,14459,14768,3399,8118,194,6184,14853,2657,6678,1110,661,575,10976,11612,2245,4743,1053,11857
195,2168,1023,5335,6754,6218,14501,11236,676,5088,16552,823,5815,1094,8591,15248,1265,15265,15286,1650,15291
13584,13401,13549,4915,4197,989,7119,13185,2136,556,6001,196,5160,8881,9760,8734,14012,375,5344,14011,1136
3212,1246,4211,14716,2778,633,4173,14711,4156,9196,14709,14718,6671,14688,14670,6680,14669,14668,14665,14640,4213
198,1740,1129,3122,4404,9629,4711,1362,8355,11750,5248,11488,6627,2443,11577,2948,5188,104,8424,6051,8972
6326,11309,2690,1912,8483,11590,9537,199,682,11771,1195,1190,12018,9129,10661,893,3640,1304,4400,6558,6603
731,214,749,13479,10136,1151,2805,9148,200,3729,2810,13533,5541,1048,1055,867,5162,377,920,1030,2917
13921,5928,5761,5766,5825,8536,5868,5907,5940,7930,5949,6020,6085,8564,6170,8579,5756,862,7895,5086,804
202,3768,788,560,2346,2113,3742,2723,3977,4485,6254,1963,996,4789,5798,4583,3605,2377,4132,928,6670
4037,13081,203,653,2731,5624,2755,11030,2601,3494,3926,4336,2236,14703,7148,14621,15033,7473,5986,2559,9281
1435,15003,365,15021,9998,15020,15018,9973,15014,15013,15012,15011,15010,15009,15007,15005,15001,6022,14998,14992,9959
205,2452,2442,2134,3749,4876,591,665,2319,393,2807,6210,2568,11086,870,3545,4134,3838,5032,3929,16749
1522,6607,9539,10878,9197,1328,8205,11606,11584,11559,11536,1629,11535,11519,8145,9710,6528,11398,11369,10717,9738
207,5470,467,5237,3990,5225,6035,4802,7,3754,3787,5803,2647,5104,5078,1137,5539,4921,1877,814,4498
3670,8599,12072,5800,12551,5149,2987,1008,12062,2606,7062,3860,7030,12464,13028,8592,6177,7053,6166,3017,5119
9225,7066,9073,2569,2648,8677,12353,12360,12363,8466,1674,12494,12514,8463,8114,7555,10583,7266,1020,12650,12664
12051,3579,1726,2525,5131,5243,1787,3407,1851,1889,3312,5848,2228,2231,10270,2253,3001,2756,6808,2378,7114
123,8409,2147,10816,5164,1930,14241,2266,9823,2680,1178,9011,552,117,10127,211,2613,1050,5403,13845,13426
11604,5066,2281,6296,9902,9048,11397,1373,9808,8864,3098,6052,6343,11324,7791,2332,2650,1228,1592,11614,8526
213,4357,3894,1282,5429,4243,898,779,1179,2734,688,840,698,978,915,448,253,848,4313,2878,2624
731,214,749,13479,10136,1151,2805,9148,200,3729,2810,13533,5541,1048,1055,867,5162,377,920,1030,2917
5660,1810,7857,3266,215,5811,1016,2278,2383,10085,8214,5428,1577,3506,7921,6524,12030,1006,6180,4201,8479
8760,3397,5132,2356,360,14351,354,1675,329,2341,4985,14220,3430,2331,4919,4891,14153,14140,272,267,264
