0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,13,13932,1995,597,3530,711,6269,7318,11499,11073,157,889,207,486,477,91,9420,817,1846,13265
1,7821,4676,9555,1704,3902,2030,4116,3056,778,15531,3428,2620,4943,1869,12058,713,7826,315,3711,3567
2,3,18354,12717,17063,1951,4187,109,37,2347,2784,81,12087,17221,1967,385,10282,7729,3962,310,2231
3,2,18354,2237,12717,17063,1951,4187,4178,6725,2773,2250,2129,2313,2347,2221,68,12087,17221,1967,385
4,453,819,1049,871,464,598,548,484,1163,408,1213,719,1237,400,165,852,1027,125,1310,684
5,784,644,13297,2407,1511,1390,1321,830,718,1387,617,868,1475,1608,1300,1574,557,6387,6368,6367
6,4470,47,12105,11487,385,4989,980,11824,17848,42,12715,634,5132,5379,205,56,703,8381,806,10936
7,560,3857,912,861,157,9377,4257,4293,11620,6210,7168,9011,9441,7438,6368,6369,6361,6390,6362,6363
8,3011,4104,2185,17590,2228,2361,145,909,7863,6700,2596,9777,11143,2002,132,12861,2182,362,9,373
9,373,132,7574,9777,11143,7863,416,1241,4284,16451,4127,1041,11949,3478,1278,4104,656,1894,932,979
10,6686,13556,5146,5003,18697,13891,9648,8046,12197,6235,6349,6996,4831,1777,11061,2104,2460,2147,6731,79
11,12476,347,1012,861,98,508,650,5049,3583,3339,1942,4916,9816,1822,5107,2394,17099,210,3709,14568
12,88,11202,26,122,13932,12839,727,41,167,233,3570,190,386,367,17400,611,77,6401,4970,6698
13,0,13932,2586,3530,6269,7318,11499,11073,889,207,486,477,91,9420,817,1846,13265,35,3641,1034
14,871,747,350,515,107,1367,945,167,1440,613,1344,277,924,843,1012,979,858,1381,668,126
15,13070,394,724,442,14519,148,7138,389,1383,13703,19143,6380,6381,6382,6383,6385,6384,6378,6386,6387
16,2415,2411,482,5251,16416,586,405,15372,17814,7019,18736,3707,2270,14414,3667,2002,3478,5400,132,8095
17,22,2007,11055,95,100,310,10855,331,7082,56,1150,110,1908,6493,1709,4490,5320,595,13492,2380
18,219,1190,6626,1179,1204,631,646,148,16871,4921,5476,2369,3918,15102,8063,2576,14442,3743,5780,11824
19,17634,259,3343,4870,6070,8853,996,16917,2687,343,572,16612,713,163,743,2537,11239,7005,55,2228
20,16903,1606,261,775,929,1014,528,1052,616,131,1068,1206,298,771,1499,33,314,231,724,6371
21,1672,207,2587,640,81,78,52,498,1074,457,443,1006,12069,63,668,32,4167,5317,6966,2508
22,17,2007,3897,11055,2548,8327,15355,95,16344,2364,2519,1699,2393,2831,7305,5235,2523,6446,3760,8381
