0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,13,6168,2686,4923,10038,385,18414,1845,17331,2072,13388,7344,1830,12863,9140,14406,12783,13115,5607,12945
1,12390,1726,2626,7763,12056,12083,1672,3490,2560,12601,14028,19020,2080,12317,12044,2535,10051,30,3531,7272
2,3,8676,7207,12869,10475,18733,1471,13144,10777,11916,12617,10332,9339,6269,5822,1851,18222,27,8337,8293
3,2,12733,478,8676,9960,2237,18559,12617,9487,5870,12573,13021,2181,1471,12869,18733,2017,7207,12279,6726
4,3632,919,2957,677,9046,5099,3403,12977,4971,11823,3968,2354,2180,2315,781,171,5238,5305,583,2845
5,644,1565,11896,11910,784,1387,1643,4692,12631,1473,1016,5602,5166,1564,1228,2373,1003,1258,10861,11384
6,799,1516,9953,5303,6241,3471,15321,16268,5117,5364,7783,12850,9105,3176,8598,8701,309,468,2310,4254
7,2535,3531,14671,12083,1691,5222,6958,19020,12390,11092,14321,18983,2560,2618,4841,12071,7272,2626,590,1726
8,2099,5423,1662,191,2225,636,1014,249,14904,15002,9963,12082,3004,421,14367,15505,15877,12839,5363,3342
9,373,7863,132,17212,1894,5159,9777,16703,8696,15700,2353,17022,15606,3825,16220,15563,13364,2270,11456,11143
10,780,893,2689,7468,9116,1014,419,161,14853,3738,7882,11147,3895,10036,5626,1224,8396,2177,388,1734
11,11737,9033,11502,3639,13497,768,7312,2926,1254,725,6853,8621,9131,14258,10699,8352,14582,1005,14996,11950
12,26,88,13876,11451,1922,11121,4311,9655,2712,6357,18525,10010,2855,13583,8400,2170,15658,3698,13522,2006
13,0,6168,1845,2686,10038,4923,385,1404,1662,10051,18414,12225,722,6305,2491,746,194,7727,5385,1742
14,18225,8351,732,16370,883,872,15434,17405,16832,974,6037,2213,5492,7978,6174,6973,18296,15600,8240,7411
15,2805,5909,11308,15502,7582,9905,129,13851,540,18697,8117,15198,2028,6349,10168,6247,3867,7313,5040,488
16,3323,9781,120,65,2415,7795,493,7533,405,1371,11456,15372,961,2030,7645,2626,9516,994,2701,3574
17,22,2007,7785,11868,6088,1660,11368,9644,3470,4299,15190,11055,8144,17002,17996,2158,10692,15504,2591,3566
18,2130,2070,3659,6501,4315,821,3595,6695,7963,8328,14009,8868,5098,6945,11372,2393,1011,2624,5232,10474
19,17634,2039,14527,4953,343,16612,16242,246,2807,13425,10394,18023,12605,16917,18500,258,13904,16638,9010,1869
20,16902,2851,11422,2403,2116,10039,632,2535,3838,624,8812,11603,2608,8271,5178,16090,5249,15043,24,12666
21,1650,3505,8690,867,8381,3058,8337,611,6697,784,281,7795,7508,12194,689,881,13334,14052,11456,9794
22,2007,7785,17,2591,8702,11055,14393,1973,6990,7113,7151,6932,856,11368,6169,4831,16603,17002,712,3574
23,2580,995,4781,4970,8471,12251,11181,14345,2247,15797,16154,5439,8017,253,12990,7501,2573,3326,4331,1572
24,624,2535,5249,2448,2120,11603,2918,16220,5867,9975,1781,11582,2905,3870,3824,4159,3537,6188,1595,2371
25,1231,10737,7847,8822,7450,8975,9914,7980,5978,13588,15951,3721,10474,1674,13452,6760,7204,4685,13912,1721
26,88,11202,1922,12,3187,613,5281,1444,1993,912,11429,9289,399,18760,3600,7725,16962,5434,4311,13876
27,15470,18305,11525,7934,698,11303,4024,16953,7207,16291,5968,10475,13479,18173,12869,14756,12174,18727,18733,15643
28,6147,15081,4947,821,8436,1011,4653,2130,2734,582,7401,12389,14037,15505,4294,2179,16923,1723,15742,14028
29,3704,481,10045,4199,324,13834,1946,6340,7006,9791,4215,7945,18166,9618,3556,2405,7020,2418,5548,4209
30,9547,8094,1726,3773,5435,2626,342,12235,12390,11164,1864,5535,12083,4841,6958,2560,12124,5222,4206,7763
31,310,12396,5268,266,15349,10150,4972,9812,1726,6838,5349,13258,2803,2754,7531,12934,980,3753,910,13009
32,63,3402,47,799,8598,18531,1038,10110,4212,6599,9953,8756,2150,11,6,2757,2280,11720,8478,3471
33,5222,1691,11092,7057,3531,5435,6958,4841,1920,3149,3664,2607,2535,1667,734,2587,10443,5187,9403,15009
34,36,14234,13065,431,505,18932,11009,15201,8260,4819,14515,1813,13036,571,8610,262,11392,503,76,1271
35,6901,9508,2931,13465,361,6364,0,4199,6915,2824,9914,433,11324,6016,5490,11866,4669,2223,13999,13304
36,3627,34,15187,7555,17065,10761,2709,76,505,9385,3885,1280,262,1271,3775,17265,2795,8497,7499,7090
37,81,1770,6292,3461,11200,175,7291,11289,11016,17230,11926,1282,11856,7942,10723,5842,793,11619,10851,14417
38,7544,7569,15464,600,13059,4801,18462,2849,4604,9249,3370,10459,5719,12793,6458,15492,14757,9959,7489,3146
39,6746,2743,7904,9779,9015,19099,12328,11139,17374,16752,4946,355,12722,9617,11826,14304,5663,7330,17256,18135
40,13917,1936,9926,8588,10900,10077,11959,4661,16646,6187,10742,12988,3425,2741,11632,3389,2179,1719,18682,1975
41,2513,13306,2688,1818,1119,7777,5930,1737,2167,101,1051,3751,4655,4478,13605,6270,10168,11905,6619,9352
42,5978,7207,5701,12328,6518,5614,6291,10978,3113,12170,9628,128,2575,16560,9774,8061,9125,2723,151,807
